paper_id,title,first_author,publication_year,journal,doi,document_type,journal_impact_factor_year,journal_impact_factor,journal_quartile,journal_metrics_source,needs_manual_journal_check,relevance_score,extractability_score,journal_quality_score,priority_score,likely_ni_based,likely_contains_conditions,likely_contains_performance,priority_rationale,screening_notes,exclude_reason,old_final_priority_label
paper_0056,Kinetic and modelling study of methane steam reforming over sulfide nickel catalyst on a gamma alumina support,D.L. Hoang,2005.0,Chemical Engineering Journal,10.1016/j.cej.2005.06.004,journal_article,2025,13.2,,manual_lookup,no,95,50,100,88.5,yes,no,no,期刊IF>=10，期刊质量最高优先；存在Ni-based信号,journal_article_candidate_after_auto_screening,,medium_priority
paper_0037,The kinetics of methane steam reforming over a Ni/α-Al2O catalyst,Kaihu Hou,2001.0,Chemical Engineering Journal,10.1016/s1385-8947(00)00367-3,journal_article,2025,13.2,,manual_lookup,no,95,50,100,88.5,yes,no,no,期刊IF>=10，期刊质量最高优先；存在Ni-based信号,journal_article_candidate_after_auto_screening,,medium_priority
paper_0103,H2 production by low pressure methane steam reforming in a Pd–Ag membrane reactor over a Ni-based catalyst: Experimental and modeling,Adolfo Iulianelli,2010.0,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2010.06.049,journal_article,2025,8.3,,manual_lookup,no,95,70,85,85.0,yes,yes,no,期刊IF>=6，满足第一批高质量筛选门槛；存在Ni-based信号；更可能包含条件字段,journal_article_candidate_after_auto_screening,,medium_priority
paper_0208,Steam reforming of methane over nickel-aluminum spinel-derived catalyst,Xi Ding,2023.0,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2023.09.167,journal_article,2025,8.3,,manual_lookup,no,95,50,85,81.0,yes,no,no,期刊IF>=6，满足第一批高质量筛选门槛；存在Ni-based信号,journal_article_candidate_after_auto_screening,,low_priority
paper_0199,Hollow sphere Ni-based catalysts promoted with cerium for steam reforming of methane,Maryam Meshksar,2022.0,Journal of the Energy Institute,10.1016/j.joei.2022.10.006,journal_article,2025,6.2,,manual_lookup,no,95,50,85,81.0,yes,no,no,期刊IF>=6，满足第一批高质量筛选门槛；存在Ni-based信号,journal_article_candidate_after_auto_screening,,low_priority
paper_0070,Theoretical and experimental study of methane steam reforming reactions over nickel catalyst,Carolina Pistonesi,2006.0,Applied Surface Science,10.1016/j.apsusc.2006.09.054,journal_article,2025,6.9,,manual_lookup,no,95,50,85,81.0,yes,no,no,期刊IF>=6，满足第一批高质量筛选门槛；存在Ni-based信号,journal_article_candidate_after_auto_screening,,medium_priority
paper_0060,Steam reforming of methane over unsupported nickel catalysts,Souad Rakass,2005.0,Journal of Power Sources,10.1016/j.jpowsour.2005.09.019,journal_article,2025,7.9,,manual_lookup,no,95,50,85,81.0,yes,no,no,期刊IF>=6，满足第一批高质量筛选门槛；存在Ni-based信号,journal_article_candidate_after_auto_screening,,medium_priority
paper_0031,Stoichiometric consideration of steam reforming of methane on Ni/Al2O3 catalyst at 650°C by using a solar furnace simulator,Yokota,2000.0,International Journal of Hydrogen Energy,10.1016/s0360-3199(99)00011-7,journal_article,2025,8.3,,manual_lookup,no,95,50,85,81.0,yes,no,no,期刊IF>=6，满足第一批高质量筛选门槛；存在Ni-based信号,journal_article_candidate_after_auto_screening,,medium_priority
paper_0006,Sulfur-passivated nickel catalysts for carbon-free steam reforming of methane,J.R. Rostrup-Nielsen,1984.0,Journal of Catalysis,10.1016/0021-9517(84)90107-6,journal_article,2025,6.5,,manual_lookup,no,95,50,85,81.0,yes,no,no,期刊IF>=6，满足第一批高质量筛选门槛；存在Ni-based信号,journal_article_candidate_after_auto_screening,,medium_priority
paper_0004,"Kinetics of the steam reforming of methane with iron, nickel, and iron-nickel alloys as catalysts",Petra Münster,1981.0,Journal of Catalysis,10.1016/0021-9517(81)90010-5,journal_article,2025,6.5,,manual_lookup,no,95,50,85,81.0,yes,no,no,期刊IF>=6，满足第一批高质量筛选门槛；存在Ni-based信号,journal_article_candidate_after_auto_screening,,medium_priority
paper_0003,Evidence for the participation of surface nickel aluminate sites in the steam reforming of methane over nickel/alumina catalysts,J.R.H. Ross,1978.0,Journal of Catalysis,10.1016/0021-9517(78)90142-2,journal_article,2025,6.5,,manual_lookup,no,95,50,85,81.0,yes,no,no,期刊IF>=6，满足第一批高质量筛选门槛；存在Ni-based信号,journal_article_candidate_after_auto_screening,,medium_priority
paper_0203,Hydrogen-Rich Syngas Production via Dry and Steam Reforming of Methane in Simulated Producer Gas over ZSM-5-Supported Trimetallic Catalysts,John T. Iminabo,2023.0,Energies,10.3390/en16227518,journal_article,2024,3.2,,manual_lookup,no,95,100,55,76.0,yes,yes,yes,期刊IF介于3和6之间，保留为中质量备选；存在Ni-based信号；更可能包含条件字段；更可能包含性能字段,journal_article_candidate_after_auto_screening,,top_priority
