paper_id,title,first_author,publication_year,journal,doi,abstract_or_summary,source_api,is_open_access,has_abstract,has_fulltext,document_type,retrieval_query,retrieval_date,screening_status,screening_notes,normalized_title,dedup_key_doi,dedup_key_title_year,duplicate_resolution_basis,master_screening_bucket,non_target_flag,journal_impact_factor_year,journal_impact_factor,journal_quartile,journal_metrics_source,journal_metrics_notes,needs_manual_journal_check
paper_0222,AI-Driven Catalyst Optimization in Methane Steam Reforming: A Hybrid HGBO–VIKOR and ConvLSTM Framework for Sustainable Hydrogen Production,Qahtani,2026.0,Sustainability,10.3390/su18083717,"Methane steam reforming (MSR) is the most widely used industrial process for hydrogen production. However, catalyst deactivation, carbon emissions, and energy inefficiencies limit its sustainable performance. Therefore, improving catalyst selection and optimizing operating conditions are essential for efficient hydrogen generation. This study proposes an artificial intelligence-driven framework to optimize catalyst–condition combinations in MSR systems. The framework integrates Hybrid Golden Beetle Optimization (HGBO), VIKOR-based multi-criteria decision making, and Convolutional Long Short-Term Memory (ConvLSTM) modeling. HGBO explores the solution space and generates Pareto-optimal combinations of catalysts and operating conditions. These solutions are then ranked using the VIKOR method. The ranking considers hydrogen yield, methane conversion, energy efficiency, CO2 emissions, and catalyst lifetime. Economic feasibility is also included in the decision process. ConvLSTM modeling captures spatiotemporal relationships in catalyst and process data and predicts catalyst degradation under different operating conditions. The framework is evaluated using 620 experimentally reported MSR cases collected from the published literature within industrial ranges of 600–1200 °C, 1–40 bar, and H2O/CH4 ratios of 1–6. The optimized configurations achieve hydrogen yields up to 98.5%, energy efficiency approaching 99%, and reduced CO2 emissions of about 0.85 kg h−1. The results provide practical guidance for catalyst selection and process optimization in industrial hydrogen production systems.",crossref,unclear,yes,yes,journal_article,methane steam reforming catalyst,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,ai driven catalyst optimization in methane steam reforming a hybrid hgbo vikor and convlstm framework for sustainable hydrogen production,10.3390/su18083717,ai driven catalyst optimization in methane steam reforming a hybrid hgbo vikor and convlstm framework for sustainable hydrogen production::2026.0,,candidate,no,,,,,,yes
paper_0221,"Support effect in Ni-based catalysts for methane steam reforming: Role of MxOy-Al2O3 (M = Ni, Mg, Co) supports for enhanced catalyst stability",Yi Lin,2025.0,Fuel Processing Technology,10.1016/j.fuproc.2025.108325,"Ni-based catalysts supported on composite metal oxides (NiO-Al 2 O 3 , MgO-Al 2 O 3 , Co 3 O 4 -Al 2 O 3 ) were synthesized via coprecipitation followed by Ni impregnation to investigate the influence of support composition on catalyst stability in methane steam reforming. Accelerated deactivation protocols (methane decomposition, high-temperature sintering, hydrothermal oxidation) revealed hydrothermal oxidation as the primary cause of irreversible deactivation. The 10Ni/NiAl catalyst (10 wt% Ni/10 wt% NiO-Al 2 O 3 ) showed remarkable regenerability after 923 K hydrothermal treatment, fully restoring its activity. This was attributed to coexisting reduced Ni species and readily reducible NiO, facilitating rapid reactivation. Other catalysts formed thermally stable NiAl 2 O 4 , leading to permanent deactivation. Methane cracking at 973 K had negligible effect, and 10Ni/NiAl catalyst exhibited the lowest carbon deposition (17.02 %). Under extreme hydrogen purged at 1223 K, only the 10Ni/CoAl catalyst exhibited a minor activity decline. The superior stability of 10Ni/NiAl was attributed to an in situ-formed NiAl composite metal oxides during 973 K calcination, which effectively anchored Ni particles, suppressed sintering, and prevented extensive oxidation. • The stability of Ni-based catalysts is significantly influenced by composite metal oxide supports. • Hydrothermal oxidation is the primary cause of catalyst deactivation. • 10Ni/CoAl catalyst is the most affected by forced sintering at 1223 K • 10Ni/NiAl catalyst shows exceptional activity and stability for 300 h in methane steam reforming. • 10Ni/NiAl catalyst recovers its activity after multiple start-up/shut-down cycles without inert gas protection.",crossref;openalex,yes,yes,yes,journal_article,Ni-based steam reforming of methane catalyst,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,support effect in ni based catalysts for methane steam reforming role of mxoy al2o3 m ni mg co supports for enhanced catalyst stability,10.1016/j.fuproc.2025.108325,support effect in ni based catalysts for methane steam reforming role of mxoy al2o3 m ni mg co supports for enhanced catalyst stability::2025.0,,candidate,no,2025,7.7,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/fuel-processing-technology,no
paper_0211,Catalytic evaluation of Ni–3%Sr-/MCM-41 in dry and steam reforming of methane,Motahareh Hasani Estalkhi,2024.0,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2024.04.347,,openalex,no,no,yes,journal_article,SRM catalyst methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,catalytic evaluation of ni 3 sr mcm 41 in dry and steam reforming of methane,10.1016/j.ijhydene.2024.04.347,catalytic evaluation of ni 3 sr mcm 41 in dry and steam reforming of methane::2024.0,,candidate,no,2025,8.3,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/international-journal-of-hydrogen-energy,no
paper_0212,Ni-based core-shell structured catalysts for efficient conversion of CH4 to H2: A review,Yu Guan,2024.0,Carbon Capture Science & Technology,10.1016/j.ccst.2024.100200,"Methane (CH4) serves as a primary constituent of natural gas and a potent greenhouse gas. Catalytic conversion of CH4 into H2 presents a promising avenue for mitigating CO2 emissions from direct CH4 combustion, while also facilitating the transition towards cleaner energy sources. Substantial efforts have been dedicated to enhancing the efficiency of methane conversion and the selectivity for hydrogen in catalyst design. Among these endeavors, core-shell structured Ni-based catalysts have emerged as highly advantageous catalysts for CH4 conversion, with a multitude of benefits including high catalytic activity, coking resistance, and longtime stability. In this review, we provide an overview of Ni-based core-shell catalysts. Furthermore, the synthesis methods of core-shell Ni-based catalysts are explored. We then delve into the myriad advantages these core-shell structured catalysts confer upon methane conversion, specifically emphasizing their remarkable stability and resistance to sintering, and CO2 activation capacity in dry reforming of methane. Moreover, this review comprehensively outlines the versatile applications of Ni-based core-shell structured catalysts in processes such as steam reforming of methane (SRM), dry reforming of methane (DRM), partial oxidation of methane (POM), and catalytic methane decomposition (CMD) for H2 production. Additionally, we delve into the recent advancements in the field of computational chemistry, with a particular focus on density functional theory (DFT) and machine learning (ML). These techniques play pivotal roles in screening Ni-based catalysts and offer insights into the intricate reaction mechanisms underlying methane conversion. Finally, we summarize the key findings of this review and provide forward-looking perspectives. This comprehensive review serves as a valuable reference in the realm of hydrogen production from methane on core-shell structured catalysts, fostering a deeper understanding of this promising area.",openalex,yes,yes,yes,review,SRM catalyst methane,2026-04-24,pending_manual_screen,review_kept_separately_for_manual_flagging,ni based core shell structured catalysts for efficient conversion of ch4 to h2 a review,10.1016/j.ccst.2024.100200,ni based core shell structured catalysts for efficient conversion of ch4 to h2 a review::2024.0,,non_target_flagged,yes,,,,,,yes
paper_0213,"Review for ""Effect of ceria morphology on hydrogen production via methane steam reforming for membrane reformer""",,2024.0,,10.1002/cjce.25396/v2/review2,,crossref,unclear,no,no,review,steam reforming of methane,2026-04-24,pending_manual_screen,review_kept_separately_for_manual_flagging,review for effect of ceria morphology on hydrogen production via methane steam reforming for membrane reformer,10.1002/cjce.25396/v2/review2,review for effect of ceria morphology on hydrogen production via methane steam reforming for membrane reformer::2024.0,,candidate,no,,,,,,yes
paper_0217,"Review for ""Metallic nickel-anchored biochar with non-metallic heteroatom modification: remarkably effective catalyst for steam reforming of methane""",,2024.0,,10.1039/d4re00431k/v1/review2,,crossref,unclear,no,no,review,Ni-based steam reforming of methane catalyst || methane steam reforming catalyst || steam reforming of methane,2026-04-24,pending_manual_screen,review_kept_separately_for_manual_flagging,review for metallic nickel anchored biochar with non metallic heteroatom modification remarkably effective catalyst for steam reforming of methane,10.1039/d4re00431k/v1/review2,review for metallic nickel anchored biochar with non metallic heteroatom modification remarkably effective catalyst for steam reforming of methane::2024.0,,candidate,no,,,,,,yes
paper_0220,"Structural Changes of Ni and Ni–Pt Methane Steam Reforming Catalysts During Activation, Reaction, and Deactivation Under Dynamic Reaction Conditions",Enrico Tusini,2024.0,ACS Catalysis,10.1021/acscatal.3c05847,"Ni-based catalysts are the most widely used materials to produce H<sub>2</sub> in large-scale methane steam reformers under stationary conditions. For domestic applications such as fuel cells, H<sub>2</sub> production involves the exposure of the catalysts to more dynamic conditions due to the daily startup and shutdown operation mode, making Ni-based catalysts susceptible to oxidation and deactivation. In this context, we report a systematic investigation of the structural changes occurring for monometallic Ni/MgAlO<sub><i>x</i></sub> and bimetallic NiPt/MgAlO<sub><i>x</i></sub> catalysts during methane steam reforming under transient conditions, comprising catalyst activation, operation, and deactivation processes. Besides extensive catalytic tests, the samples prepared by incipient wetness impregnation were characterized by complementary methods, including N<sub>2</sub>-physisorption, X-ray diffraction, H<sub>2</sub>-temperature-programmed reduction, and electron microscopy. Next, the structure of the Ni and Pt species was monitored under reaction conditions using time and spatially resolved <i>in situ</i>/<i>operando</i> X-ray absorption spectroscopy. The results obtained show that before catalyst activation by H<sub>2</sub>-reduction, nickel diffuses into the support lattice and forms mixed oxides with magnesium. In the activated catalysts, Ni is present in the metallic state or alloyed with Pt. A clear beneficial effect of the noble metal addition was identified on both the activity and stability of the bimetallic NiPt/MgAlO<sub><i>x</i></sub> catalyst. In contrast, the pronounced oxidation and reincorporation of Ni into the support lattice were observed for the monometallic sample, and these catalyst deactivation effects are hindered in the bimetallic Ni-Pt catalyst. Overall, the outcome of our study not only helps in understanding the catalyst activation/deactivation processes at an atomic level but also provides the basis for the rational development of improved methane steam reforming catalysts.",openalex,yes,yes,yes,journal_article,methane steam reforming catalyst,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,structural changes of ni and ni pt methane steam reforming catalysts during activation reaction and deactivation under dynamic reaction conditions,10.1021/acscatal.3c05847,structural changes of ni and ni pt methane steam reforming catalysts during activation reaction and deactivation under dynamic reaction conditions::2024.0,,candidate,no,2025,13.1,,manual_lookup,Official ACS journal about page surfaced via search on 2026-04-27; https://pubs.acs.org/page/accacs/about.html,no
paper_0202,"Hydrogen production by steam reforming of methane over hollow, bulk, and co-precipitated Ni–Ce–Al2O3 catalysts: Optimization via design of experiments",Maryam Meshksar,2023.0,Journal of the Energy Institute,10.1016/j.joei.2023.101344,,openalex,no,no,yes,journal_article,SRM catalyst methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,hydrogen production by steam reforming of methane over hollow bulk and co precipitated ni ce al2o3 catalysts optimization via design of experiments,10.1016/j.joei.2023.101344,hydrogen production by steam reforming of methane over hollow bulk and co precipitated ni ce al2o3 catalysts optimization via design of experiments::2023.0,,candidate,no,2025,6.2,,manual_lookup,Official Elsevier journal page surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/journal-of-the-energy-institute,no
paper_0203,Hydrogen-Rich Syngas Production via Dry and Steam Reforming of Methane in Simulated Producer Gas over ZSM-5-Supported Trimetallic Catalysts,John T. Iminabo,2023.0,Energies,10.3390/en16227518,"This study investigated the production of hydrogen-rich syngas from renewable sources using durable and efficient catalysts. Specifically, the research focused on steam methane reforming (SRM) and dry methane reforming (DRM) of simulated producer gas from biomass steam gasification in a fluidized bed reactor. The catalysts tested are ZSM-5-supported nickel-iron-cobalt-based trimetallic catalysts in different ratios, which were prepared via the wet impregnation method. Synthesized catalysts were characterized using XRD, BET, H2-TPR, and SEM techniques. The results of the SRM with the simulated producer gas showed that the 20%Ni-20%Fe-10%Co/ZSM-5 trimetallic catalyst, at a gas hourly space velocity (GHSV) of 12 L·h−1·g−1 and reaction temperature of 800 °C, achieved the highest CH4 conversion (74.8%) and highest H2 yield (65.59%) with CO2 conversion (36.05%). Comparing the performance of the SRM and DRM of the simulated producer gas with the 20%Ni-20%Fe-10%Co/ZSM5 at a GHSV of 36 L·h−1·g−1 and 800 °C, they achieved a CH4 conversion of 67.18% and 64.43%, a CO2 conversion of 43.01% and 52.1%, and a H2 yield of 55.49% and 42.02%, respectively. This trimetallic catalyst demonstrated effective inhibition of carbon formation and sintering, with only 2.6 wt.% carbon deposition observed from the thermo-gravimetric analysis of the used catalyst from the SRM of the simulated producer gas, thus promoting the potential of the ZSM-5-supported trimetallic catalysts in methane reforming.",openalex,yes,yes,yes,journal_article,SRM catalyst methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,hydrogen rich syngas production via dry and steam reforming of methane in simulated producer gas over zsm 5 supported trimetallic catalysts,10.3390/en16227518,hydrogen rich syngas production via dry and steam reforming of methane in simulated producer gas over zsm 5 supported trimetallic catalysts::2023.0,,candidate,no,2024,3.2,,manual_lookup,Official MDPI journal metrics page surfaced via search on 2026-04-27; Impact Factor 3.2 in 2024; category quartiles are category-specific and not collapsed here; https://www.mdpi.com/journal/energies,no
paper_0204,Nanoparticle Mobility and Coalescence During Sintering of a Ni/MgAl2O4 Methane Steam Reforming Catalyst,Hansen,2023.0,Microscopy and Microanalysis,10.1093/micmic/ozad067.831,,crossref,unclear,no,yes,journal_article,Ni-based steam reforming of methane catalyst,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,nanoparticle mobility and coalescence during sintering of a ni mgal2o4 methane steam reforming catalyst,10.1093/micmic/ozad067.831,nanoparticle mobility and coalescence during sintering of a ni mgal2o4 methane steam reforming catalyst::2023.0,,candidate,no,,,,,,yes
