paper_id,title,first_author,publication_year,journal,doi,abstract_or_summary,source_api,is_open_access,has_abstract,has_fulltext,document_type,retrieval_query,retrieval_date,screening_status,screening_notes,relevance_score,extractability_score,priority_score,likely_ni_based,likely_contains_conditions,likely_contains_performance,exclude_reason,final_priority_label
paper_0078,A Plate-Type Anodic Alumina Supported Nickel Catalyst for Methane Steam Reforming,Lu Zhou,2008,JOURNAL OF CHEMICAL ENGINEERING OF JAPAN,10.1252/jcej.07we182,"An anodic alumina supported nickel catalyst (Ni/Al2O3/Alloy) was synthesized using a double impregnation method with a high temperature calcination in between, to investigate reactivity performance thereof during steam reforming of methane (SRM) reactions in continuous and daily start-up and shut-down (DSS)-like operations. The catalyst was structurally characterized using X-ray diffraction (XRD), BET and temperature programmed reduction (TPR) technologies. The TPR results showed that almost all nickel content from the first impregnation was transformed into nickel aluminate, whereas nickel from the second impregnation predominantly existed in the more reducible forms of NiO and xNiO·Al2O3 (x < 1). The existence of these NiO and NiAl2O4 phases was identified by XRD.The catalyst provided high and stable SRM reactivity near the equilibrium value, while no deactivation was observed in continuous durability testing for 200 h at 800°C and 130 h at 700°C, and in DSS-like mode operation at 700°C. The investigation of the influence of methane and/or steam treatments on the reactivity of Ni/Al2O3/Alloy showed the catalyst is not disturbed by the methane treatment, whereas it is remarkably deactivated by the steam treatment. In addition, no differences in the reduction effect were found when using hydrogen or methane to regenerate a steamed catalyst.",openalex,no,yes,yes,journal_article,SRM catalyst methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,95,100,97.0,yes,yes,yes,,top_priority
paper_0079,"A novel catalyst with plate-type anodic alumina supports, Ni/NiAl2O4/γ-Al2O3/alloy, for steam reforming of methane",Lu Zhou,2008,Applied Catalysis A General,10.1016/j.apcata.2008.06.007,"A series of plate-type metal-monolithic anodic alumina supported nickel catalysts were employed to investigate their reactivity in the steam reforming of methane reactions. After H2 reduction, a fresh 4.7 wt% Ni/γ-Al2O3/alloy catalyst provided only a short-term activity, and then deactivated quickly. By the temperature programmed reaction technologies, the oxidation of surface sintered metallic Ni particles in the SRM test was suggested to be the main reason for the catalyst deactivation. As a result, a 17.9 wt% Ni/NiAl2O4/γ-Al2O3/alloy catalyst with an interfacial NiAl2O4 layer was synthesized, which showed excellent SRM reactivity at 700 °C and this was believed to be resulted from the existence of interfacial NiAl2O4 layer which anchored the top metallic nickel particles and effectively suppressed catalyst sintering. Moreover, no unfavorable effect was evidenced over the SRM reactivity of anodic Ni catalysts when applying the electrically heated pattern. Nevertheless, for the industrialization of anodic nickel catalysts, some efforts should be made to alleviate the deterioration of anodic supports and the catalysts sintering under the SRM reactions.",openalex,yes,yes,yes,journal_article,SRM catalyst methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,95,100,97.0,yes,yes,yes,,top_priority
paper_0093,Ni@SiO<sub>2</sub>yolk-shell nanoreactor catalysts: High temperature stability and recyclability,Ji Chan Park,2009,Journal of Materials Chemistry,10.1039/b918446e,"Nickel-based catalysts have been good candidates for steam reforming of methane, but their stability has been restricted due to the agglomeration among particles at high temperature. In the present work, a new type of Ni@SiO2 yolk-shell nanoreactor framework comprising Ni cores inside hollow silica shells has been prepared through direct silica coating and subsequent selective etching of the metal cores. This nanoreactor framework is remarkably stable at high temperatures up to 973 K, because the silica hollow shells around the nickel cores essentially block particle sintering. The Ni@SiO2 nanoreactor structure is employed as a model catalyst for the steam methane reforming reaction. The catalysts exhibit a continuous conversion rate of methane and hydrogen, and significantly enhanced stability at high temperatures, leading to high recyclability without loss of catalytic activity. These reaction properties are superior to Ni/MCF catalysts, and comparable with state-of-the-art commercial catalysts. This catalyst design can be generalized for other bifunctional systems, such as Co@SiO2 and Fe@SiO2.",openalex,no,yes,yes,journal_article,Ni-based steam reforming of methane catalyst,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,95,100,97.0,yes,yes,yes,,top_priority
paper_0128,Perovskite NaCeTi<sub>2</sub>O<sub>6</sub>‐Supported Ni Catalysts for CH<sub>4</sub> Steam Reforming,Shenghong Zhang,2012,ChemCatChem,10.1002/cctc.201200239,"Abstract Perovskite NaCeTi 2 O 6 (NCT)‐supported Ni catalysts were prepared and examined for the steam reforming of methane (SRM) with a low H 2 O/CH 4 ratio (1:1), and their structures were characterized by means of powder XRD, energy dispersive X‐ray spectroscopy high resolution TEM, temperature‐programmed desorption of CO 2 , temperature‐programmed reduction with H 2 , Ni K‐edge/Ce L III ‐edge X‐ray absorption near edge structure spectroscopy and extended X‐ray absorption fine structure . A 4 wt % Ni/NCT catalyst exhibited higher activity than 4 wt % Ni/TiO 2 , Ni/(CeO 2 +TiO 2 ), and Ni/Ce 2 O 3 catalysts for SRM reactions at 973 K, and better resistance to carbon deposition was observed on 4 wt % Ni/NCT compared to 4 wt % Ni/CeO 2 . It is suggested that the characteristic performance of the Ni/NCT catalysts for the SRM reactions are related to the basic character and oxygen conducting behavior of NCT to control the balance of CH 4 decomposition and carbon gasification with steam on the surfaces of the Ni/NCT catalysts.",openalex,no,yes,yes,journal_article,SRM catalyst methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,95,100,97.0,yes,yes,yes,,top_priority
paper_0138,Ni-Based Catalysts for Low Temperature Methane Steam Reforming: Recent Results on Ni-Au and Comparison with Other Bi-Metallic Systems,Hongjing Wu,2013,Catalysts,10.3390/catal3020563,"Steam reforming of light hydrocarbons provides a promising method for hydrogen production. Ni-based catalysts are so far the best and the most commonly used catalysts for steam reforming because of their acceptably high activity and significantly lower cost in comparison with alternative precious metal-based catalysts. However, nickel catalysts are susceptible to deactivation from the deposition of carbon, even when operating at steam-to-carbon ratios predicted to be thermodynamically outside of the carbon-forming regime. Reactivity and deactivation by carbon formation can be tuned by modifying Ni surfaces with a second metal, such as Au through alloy formation. In the present review, we summarize the very recent progress in the design, synthesis, and characterization of supported bimetallic Ni-based catalysts for steam reforming. The progress in the modification of Ni with noble metals (such as Au and Ag) is discussed in terms of preparation, characterization and pretreatment methods. Moreover, the comparison with the effects of other metals (such as Sn, Cu, Co, Mo, Fe, Gd and B) is addressed. The differences of catalytic activity, thermal stability and carbon species between bimetallic and monometallic Ni-based catalysts are also briefly shown.",openalex,yes,yes,yes,journal_article,Ni-based steam reforming of methane catalyst || methane steam reforming catalyst,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,95,100,97.0,yes,yes,yes,,top_priority
paper_0143,Methane Steam Reforming over a Ni/NiAl<sub>2</sub>O<sub>4</sub> Model Catalyst—Kinetics,Sprung,2014,ChemCatChem,10.1002/cctc.201402017,"Abstract The steam reforming reaction of methane to synthesis gas (CO and H 2 ) was investigated in a very broad steam‐to‐carbon (S/C) ratio range (0.2–7.1) over a Ni/NiAl 2 O 4 catalyst at 843, 858, and 873 K. The dataset includes 179 data points at each temperature giving a detailed insight in the gradual change of kinetic orders in both methane and steam with changing S/C ratios as well as with total reactant partial pressures at differential conversion levels. At low S/C ratios, steam dominates the kinetics with high kinetic orders (low for methane) and vice versa for methane at high S/C ratios. The extent of the water gas shift reaction was assessed by 13 CO 2 co‐feed experiments and thermodynamic modelling and found to be not in equilibrium. A change in the kinetic isotope effect (i.e., inverse and normal), as well as the apparent activation energy, was observed depending on the applied S/C ratios. The experimental data were satisfactorily described by a Langmuir–Hinshelwood expression.",crossref,unclear,yes,yes,journal_article,Ni-based steam reforming of methane catalyst,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,95,100,97.0,yes,yes,yes,,top_priority
paper_0171,Dual‐Function Cobalt–Nickel Nanoparticles Tailored for High‐Temperature Induction‐Heated Steam Methane Reforming,Morten G. Vinum,2018,Angewandte Chemie International Edition,10.1002/anie.201804832,"Abstract The tailored chemical synthesis of binary and ternary alloy nanoparticles with a uniform elemental composition is presented. Their dual use as magnetic susceptors for induction heating and catalytic agent for steam reforming of methane to produce hydrogen at temperatures near and above 800 °C is demonstrated. The heating and catalytic performance of two chemically synthesized samples of CoNi and Cu ⊂ CoNi are compared and held against a traditional Ni‐based reforming catalyst. The structural, magnetic, and catalytic properties of the samples were characterized by X‐ray diffraction, elemental analysis, magnetometry, and reactivity measurements. For induction‐heated catalysts, the conversion rate of methane is limited by chemical reactivity, as opposed to the case of traditional externally heated reformers where heat transport limitations are the limiting factor. Catalyst production by the synthetic route allows controlled doping with miniscule concentrations of auxiliary metals.",openalex,no,yes,yes,journal_article,Ni-based steam reforming of methane catalyst,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,95,100,97.0,yes,yes,yes,,top_priority
paper_0179,Hydrogen Production via Low-Temperature Steam–Methane Reforming Using Ni–CeO<sub>2</sub>–Al<sub>2</sub>O<sub>3</sub> Hybrid Nanoparticle Clusters as Catalysts,Guan-Hung Lai,2019,ACS Applied Energy Materials,10.1021/acsaem.9b01444,"The hybrid nanostructures, Ni-only and Ni–CeO2 nanoparticles decorated on Al2O3 nanoparticle clusters (Ni–Al2O3 NPC and Ni–CeO2–Al2O3 NPC, respectively), were successfully synthesized as catalysts for steam reforming of methane (SRM). A substantial amount of metal–support interface was created in the hybrid nanostructure via aerosol-based evaporation-induced self-assembly, by which ultrafine Ni crystallites (≈6 nm) and tunable chemical composition achieved simultaneously. Addition of Al2O3 NPC increased metal surface area and also suppressed Ni sintering in the hybrid nanostructure during catalysis. Hybridization with CeO2 nanoparticles significantly improved catalytic activity and stability of the Ni-based catalyst, especially in the absence of Al2O3 NPC, and the amount of coke formation was shown to be effectively suppressed by >3×. A superior high catalytic performance of the hybrid nanostructures achieved: a low starting temperature (400 °C), remarkable activity at low temperature (turnover frequencies of methane conversion of 0.8 s–1 at 500 °C), ideal H2 yield (≈3× of the converted methane), and high operation stability over 8 h reaction. The work demonstrates a prototype study of gas-phase synthesis of hybrid nanocatalysts using Al2O3 NPC as the support matrix to achieve a very high activity at a low-temperature operation of SRM, which has shown promise for an advance of methane-based energy applications.",openalex,no,yes,yes,journal_article,SRM catalyst methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,95,100,97.0,yes,yes,yes,,top_priority
paper_0194,Ni-based bimetallic nano-catalysts anchored on BaZr<sub>0.4</sub>Ce<sub>0.4</sub>Y<sub>0.1</sub>Yb<sub>0.1</sub>O<sub>3−δ</sub> for internal steam reforming of methane in a low-temperature proton-conducting ceramic fuel cell,Kyungpyo Hong,2021,Journal of Materials Chemistry A,10.1039/d0ta11359j,"Ni–Rh and Ni–Co nano-scale alloys exhibit high methane conversion, hydrogen yield, resistance to carbon formation, and long-term stability at low temperatures, allowing them to cope with the various operating conditions of direct methane-fueled PCFCs.",openalex,no,yes,yes,journal_article,Ni-based steam reforming of methane catalyst,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,95,100,97.0,yes,yes,yes,,top_priority
paper_0203,Hydrogen-Rich Syngas Production via Dry and Steam Reforming of Methane in Simulated Producer Gas over ZSM-5-Supported Trimetallic Catalysts,John T. Iminabo,2023,Energies,10.3390/en16227518,"This study investigated the production of hydrogen-rich syngas from renewable sources using durable and efficient catalysts. Specifically, the research focused on steam methane reforming (SRM) and dry methane reforming (DRM) of simulated producer gas from biomass steam gasification in a fluidized bed reactor. The catalysts tested are ZSM-5-supported nickel-iron-cobalt-based trimetallic catalysts in different ratios, which were prepared via the wet impregnation method. Synthesized catalysts were characterized using XRD, BET, H2-TPR, and SEM techniques. The results of the SRM with the simulated producer gas showed that the 20%Ni-20%Fe-10%Co/ZSM-5 trimetallic catalyst, at a gas hourly space velocity (GHSV) of 12 L·h−1·g−1 and reaction temperature of 800 °C, achieved the highest CH4 conversion (74.8%) and highest H2 yield (65.59%) with CO2 conversion (36.05%). Comparing the performance of the SRM and DRM of the simulated producer gas with the 20%Ni-20%Fe-10%Co/ZSM5 at a GHSV of 36 L·h−1·g−1 and 800 °C, they achieved a CH4 conversion of 67.18% and 64.43%, a CO2 conversion of 43.01% and 52.1%, and a H2 yield of 55.49% and 42.02%, respectively. This trimetallic catalyst demonstrated effective inhibition of carbon formation and sintering, with only 2.6 wt.% carbon deposition observed from the thermo-gravimetric analysis of the used catalyst from the SRM of the simulated producer gas, thus promoting the potential of the ZSM-5-supported trimetallic catalysts in methane reforming.",openalex,yes,yes,yes,journal_article,SRM catalyst methane,2026-04-24,pending_manual_screen,journal_article_candidate_after_auto_screening,95,100,97.0,yes,yes,yes,,top_priority
