paper_id,doi,title,candidate_url,candidate_source,candidate_source_type,access_route,is_open_access,institutional_access_possible,source_priority,fetch_status,http_status,final_url,content_type,content_length,local_saved_path,source_quality_type,source_quality_score,has_useful_text,ready_for_extraction,retry_recommended,failure_reason,notes,fetch_time
paper_0007,10.1016/0021-9517(85)90320-3,Carbon deposition and methane steam reforming on silica-supported Ni$z.sbnd;Cu catalysts,data\raw\pdfs\10.1016_0021-9517_85_90320-3.pdf,local_manual_pdf,local_pdf,local_pdf,unclear,no,65,manual_required,,,,,,,0,no,no,no,local_pdf_not_found,Local PDF candidate path does not exist; manual legal PDF placement is needed.,2026-04-29T15:23:36+08:00
paper_0007,10.1016/0021-9517(85)90320-3,Carbon deposition and methane steam reforming on silica-supported Ni$z.sbnd;Cu catalysts,data\raw\pdfs\paper_0007.pdf,local_manual_pdf,local_pdf,local_pdf,unclear,no,65,manual_required,,,,,,,0,no,no,no,local_pdf_not_found,Local PDF candidate path does not exist; manual legal PDF placement is needed.,2026-04-29T15:23:36+08:00
paper_0007,10.1016/0021-9517(85)90320-3,Carbon deposition and methane steam reforming on silica-supported Ni$z.sbnd;Cu catalysts,data\raw\pdfs\paper_0007_10.1016_0021-9517_85_90320-3.pdf,local_manual_pdf,local_pdf,local_pdf,unclear,no,65,manual_required,,,,,,,0,no,no,no,local_pdf_not_found,Local PDF candidate path does not exist; manual legal PDF placement is needed.,2026-04-29T15:23:36+08:00
paper_0007,10.1016/0021-9517(85)90320-3,Carbon deposition and methane steam reforming on silica-supported Ni$z.sbnd;Cu catalysts,data\raw\pdfs\paper_0007_carbon_deposition_and_methane_steam_reforming_on_silica_supported_ni_z_sbnd_cu_c.pdf,local_manual_pdf,local_pdf,local_pdf,unclear,no,65,manual_required,,,,,,,0,no,no,no,local_pdf_not_found,Local PDF candidate path does not exist; manual legal PDF placement is needed.,2026-04-29T15:23:36+08:00
paper_0007,10.1016/0021-9517(85)90320-3,Carbon deposition and methane steam reforming on silica-supported Ni$z.sbnd;Cu catalysts,https://www.sciencedirect.com/science/article/pii/0021-9517(85)90320-3/pdfft?isDTMRedir=true&download=true,sciencedirect,institutional_pdf,institutional_access,unclear,yes,85,forbidden,403,https://www.sciencedirect.com/science/article/pii/0021-9517(85)90320-3/pdfft?isDTMRedir=true&download=true,text/html; charset=UTF-8,832789,,redirect_or_forbidden,0,no,no,no,forbidden_http_403,Access-limited or failed response recorded; no bypass attempted.,2026-04-29T15:23:36+08:00
paper_0007,10.1016/0021-9517(85)90320-3,Carbon deposition and methane steam reforming on silica-supported Ni$z.sbnd;Cu catalysts,https://www.sciencedirect.com/science/article/pii/0021-9517(85)90320-3,sciencedirect,publisher_landing_page,publisher_landing,unclear,yes,65,forbidden,403,https://www.sciencedirect.com/science/article/pii/0021-9517(85)90320-3,text/html; charset=UTF-8,832789,,redirect_or_forbidden,0,no,no,no,forbidden_http_403,Access-limited or failed response recorded; no bypass attempted.,2026-04-29T15:23:39+08:00
paper_0007,10.1016/0021-9517(85)90320-3,Carbon deposition and methane steam reforming on silica-supported Ni$z.sbnd;Cu catalysts,https://doi.org/10.1016/0021-9517(85)90320-3,openalex_location,publisher_landing_page,publisher_landing,no,unknown,62,publisher_landing_only,200,https://linkinghub.elsevier.com/retrieve/pii/0021951785903203,text/html;charset=UTF-8,2699,outputs\fulltext\paper_0007_publisher_landing_page_62.html,redirect_or_forbidden,0,no,no,no,publisher_landing_page_only,Publisher landing page only; not enough for experimental extraction.,2026-04-29T15:23:41+08:00
paper_0007,10.1016/0021-9517(85)90320-3,Carbon deposition and methane steam reforming on silica-supported Ni$z.sbnd;Cu catalysts,https://api.elsevier.com/content/article/PII:0021-9517(85)90320-3?httpAccept=text/plain,crossref_link,crossref_link,unknown,unclear,unknown,56,non_retryable_failure,400,https://api.elsevier.com/content/article/PII:0021-9517(85)90320-3?httpAccept=text/plain,text/xml;charset=UTF-8,159,,no_useful_content,0,no,no,no,http_400,Access-limited or failed response recorded; no bypass attempted.,2026-04-29T15:23:45+08:00
paper_0007,10.1016/0021-9517(85)90320-3,Carbon deposition and methane steam reforming on silica-supported Ni$z.sbnd;Cu catalysts,https://api.elsevier.com/content/article/PII:0021-9517(85)90320-3?httpAccept=text/xml,crossref_link,crossref_link,unknown,unclear,unknown,56,no_useful_content,200,https://api.elsevier.com/content/article/PII:0021-9517(85)90320-3?httpAccept=text/xml,text/xml;charset=UTF-8,1827,outputs\fulltext\paper_0007_crossref_link_56.xml,doi_landing_page,25,yes,no,no,no_useful_fulltext_signal,Fetched content did not contain enough useful SRM fulltext.,2026-04-29T15:23:47+08:00
paper_0007,10.1016/0021-9517(85)90320-3,Carbon deposition and methane steam reforming on silica-supported Ni$z.sbnd;Cu catalysts,manual://paper_0007,manual_required,manual_required,manual_required,unclear,unknown,1,manual_required,,,,,,,0,no,no,no,manual_required,No HTTP fetch attempted for this candidate.,2026-04-29T15:23:49+08:00
paper_0099,10.1016/j.ijhydene.2010.10.053,Catalytic performance of Ni catalysts for steam reforming of methane at high space velocity,data\raw\pdfs\10.1016_j.ijhydene.2010.10.053.pdf,local_manual_pdf,local_pdf,local_pdf,unclear,no,65,manual_required,,,,,,,0,no,no,no,local_pdf_not_found,Local PDF candidate path does not exist; manual legal PDF placement is needed.,2026-04-29T15:23:49+08:00
paper_0099,10.1016/j.ijhydene.2010.10.053,Catalytic performance of Ni catalysts for steam reforming of methane at high space velocity,data\raw\pdfs\paper_0099.pdf,local_manual_pdf,local_pdf,local_pdf,unclear,no,65,manual_required,,,,,,,0,no,no,no,local_pdf_not_found,Local PDF candidate path does not exist; manual legal PDF placement is needed.,2026-04-29T15:23:49+08:00
paper_0099,10.1016/j.ijhydene.2010.10.053,Catalytic performance of Ni catalysts for steam reforming of methane at high space velocity,data\raw\pdfs\paper_0099_10.1016_j.ijhydene.2010.10.053.pdf,local_manual_pdf,local_pdf,local_pdf,unclear,no,65,manual_required,,,,,,,0,no,no,no,local_pdf_not_found,Local PDF candidate path does not exist; manual legal PDF placement is needed.,2026-04-29T15:23:49+08:00
paper_0099,10.1016/j.ijhydene.2010.10.053,Catalytic performance of Ni catalysts for steam reforming of methane at high space velocity,data\raw\pdfs\paper_0099_catalytic_performance_of_ni_catalysts_for_steam_reforming_of_methane_at_high_spa.pdf,local_manual_pdf,local_pdf,local_pdf,unclear,no,65,manual_required,,,,,,,0,no,no,no,local_pdf_not_found,Local PDF candidate path does not exist; manual legal PDF placement is needed.,2026-04-29T15:23:49+08:00
paper_0099,10.1016/j.ijhydene.2010.10.053,Catalytic performance of Ni catalysts for steam reforming of methane at high space velocity,https://www.sciencedirect.com/science/article/pii/j.ijhydene.2010.10.053/pdfft?isDTMRedir=true&download=true,sciencedirect,institutional_pdf,institutional_access,unclear,yes,85,forbidden,403,https://www.sciencedirect.com/science/article/pii/j.ijhydene.2010.10.053/pdfft?isDTMRedir=true&download=true,text/html; charset=UTF-8,832789,,redirect_or_forbidden,0,no,no,no,forbidden_http_403,Access-limited or failed response recorded; no bypass attempted.,2026-04-29T15:23:49+08:00
paper_0099,10.1016/j.ijhydene.2010.10.053,Catalytic performance of Ni catalysts for steam reforming of methane at high space velocity,https://www.sciencedirect.com/science/article/pii/j.ijhydene.2010.10.053,sciencedirect,publisher_landing_page,publisher_landing,unclear,yes,65,forbidden,403,https://www.sciencedirect.com/science/article/pii/j.ijhydene.2010.10.053,text/html; charset=UTF-8,832789,,redirect_or_forbidden,0,no,no,no,forbidden_http_403,Access-limited or failed response recorded; no bypass attempted.,2026-04-29T15:23:51+08:00
paper_0099,10.1016/j.ijhydene.2010.10.053,Catalytic performance of Ni catalysts for steam reforming of methane at high space velocity,https://doi.org/10.1016/j.ijhydene.2010.10.053,openalex_location,publisher_landing_page,publisher_landing,no,unknown,62,publisher_landing_only,200,https://linkinghub.elsevier.com/retrieve/pii/S0360319910021324,text/html;charset=UTF-8,2708,outputs\fulltext\paper_0099_publisher_landing_page_62.html,redirect_or_forbidden,0,no,no,no,publisher_landing_page_only,Publisher landing page only; not enough for experimental extraction.,2026-04-29T15:23:52+08:00
paper_0099,10.1016/j.ijhydene.2010.10.053,Catalytic performance of Ni catalysts for steam reforming of methane at high space velocity,https://api.elsevier.com/content/article/PII:S0360319910021324?httpAccept=text/plain,crossref_link,crossref_link,unknown,unclear,unknown,56,non_retryable_failure,400,https://api.elsevier.com/content/article/PII:S0360319910021324?httpAccept=text/plain,text/xml;charset=UTF-8,159,,no_useful_content,0,no,no,no,http_400,Access-limited or failed response recorded; no bypass attempted.,2026-04-29T15:23:54+08:00
paper_0099,10.1016/j.ijhydene.2010.10.053,Catalytic performance of Ni catalysts for steam reforming of methane at high space velocity,https://api.elsevier.com/content/article/PII:S0360319910021324?httpAccept=text/xml,crossref_link,crossref_link,unknown,unclear,unknown,56,no_useful_content,200,https://api.elsevier.com/content/article/PII:S0360319910021324?httpAccept=text/xml,text/xml;charset=UTF-8,1863,outputs\fulltext\paper_0099_crossref_link_56.xml,doi_landing_page,25,yes,no,no,no_useful_fulltext_signal,Fetched content did not contain enough useful SRM fulltext.,2026-04-29T15:23:55+08:00
paper_0099,10.1016/j.ijhydene.2010.10.053,Catalytic performance of Ni catalysts for steam reforming of methane at high space velocity,manual://paper_0099,manual_required,manual_required,manual_required,unclear,unknown,1,manual_required,,,,,,,0,no,no,no,manual_required,No HTTP fetch attempted for this candidate.,2026-04-29T15:23:57+08:00
paper_0101,10.1016/j.apcatb.2010.10.026,Effect of nickel nano-particle sintering on methane reforming activity of Ni-CGO cermet anodes for internal steam reforming SOFCs,data\raw\pdfs\paper_0101.pdf,local_manual_pdf,local_pdf,local_pdf,unclear,no,120,skipped_existing,,,,,outputs\fulltext\pdf_text\paper_0101.txt,pdf_fulltext,95,yes,yes,no,,Existing useful fulltext manifest row skipped.,2026-04-29T15:23:57+08:00
paper_0124,10.1016/j.cej.2011.01.036,Thermal and hydrothermal stability of a metal monolithic anodic alumina support for steam reforming of methane,data\raw\pdfs\10.1016_j.cej.2011.01.036.pdf,local_manual_pdf,local_pdf,local_pdf,unclear,no,65,manual_required,,,,,,,0,no,no,no,local_pdf_not_found,Local PDF candidate path does not exist; manual legal PDF placement is needed.,2026-04-29T15:23:57+08:00
