lookup_journal,canonical_journal,journal_impact_factor_year,journal_impact_factor,journal_quartile,journal_metrics_source,journal_metrics_notes
International Journal of Hydrogen Energy,International Journal of Hydrogen Energy,2025,8.3,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/international-journal-of-hydrogen-energy
Applied Catalysis A General,Applied Catalysis A: General,2025,4.8,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/applied-catalysis-a-general
Applied Catalysis A: General,Applied Catalysis A: General,2025,4.8,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/applied-catalysis-a-general
Catalysis Today,Catalysis Today,2025,5.3,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/catalysis-today
Journal of Catalysis,Journal of Catalysis,2025,6.5,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/journal-of-catalysis
Fuel,Fuel,2025,7.5,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/fuel
Industrial & Engineering Chemistry Research,Industrial & Engineering Chemistry Research,2025,3.9,,manual_lookup,Official ACS journal about page surfaced via search on 2026-04-27; https://pubs.acs.org/page/iecred/about.html
Chemical Engineering Science,Chemical Engineering Science,2025,4.3,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/chemical-engineering-science
Chemical Engineering Journal,Chemical Engineering Journal,2025,13.2,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/chemical-engineering-journal
Applied Catalysis B: Environmental,Applied Catalysis B: Environment and Energy,2025,21.1,,manual_lookup,Current official ScienceDirect journal title is Applied Catalysis B: Environment and Energy; metric captured on 2026-04-27; https://www.sciencedirect.com/journal/applied-catalysis-b-environment-and-energy
Applied Catalysis B: Environment and Energy,Applied Catalysis B: Environment and Energy,2025,21.1,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/applied-catalysis-b-environment-and-energy
Journal of Power Sources,Journal of Power Sources,2025,7.9,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/journal-of-power-sources
Catalysts,Catalysts,2024,4.0,Q2,manual_lookup,Official MDPI journal metrics page surfaced via search on 2026-04-27; Impact Factor 4.0 in 2024; Q2 in Chemistry Physical; https://www.mdpi.com/journal/catalysts
Energy,Energy,2025,9.4,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/energy
Journal of the Energy Institute,Journal of the Energy Institute,2025,6.2,,manual_lookup,Official Elsevier journal page surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/journal-of-the-energy-institute
Process Safety and Environmental Protection,Process Safety and Environmental Protection,2025,7.8,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/process-safety-and-environmental-protection
Fuel Processing Technology,Fuel Processing Technology,2025,7.7,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/fuel-processing-technology
Applied Surface Science,Applied Surface Science,2025,6.9,,manual_lookup,Official ScienceDirect journal homepage surfaced via search on 2026-04-27; https://www.sciencedirect.com/journal/applied-surface-science
Energy & Fuels,Energy & Fuels,2025,5.3,,manual_lookup,Official ACS journal about page surfaced via search on 2026-04-27; https://pubs.acs.org/page/efueco/about.html
The Journal of Physical Chemistry C,The Journal of Physical Chemistry C,2025,3.2,,manual_lookup,Official ACS journal about page surfaced via search on 2026-04-27; https://pubs.acs.org/page/jpccck/about.html
RSC Advances,RSC Advances,2025,4.6,,manual_lookup,Official RSC journal page surfaced via search on 2026-04-27; https://pubs.rsc.org/en/journals/journal/ra
Journal of Materials Chemistry A,Journal of Materials Chemistry A,2025,9.5,,manual_lookup,Official RSC journal page surfaced via search on 2026-04-27; https://pubs.rsc.org/en/journals/journal/jmta
ACS Catalysis,ACS Catalysis,2025,13.1,,manual_lookup,Official ACS journal about page surfaced via search on 2026-04-27; https://pubs.acs.org/page/accacs/about.html
ACS Applied Energy Materials,ACS Applied Energy Materials,2025,5.6,,manual_lookup,Official ACS journal about page surfaced via search on 2026-04-27; https://pubs.acs.org/page/aaemcq/about.html
Energies,Energies,2024,3.2,,manual_lookup,Official MDPI journal metrics page surfaced via search on 2026-04-27; Impact Factor 3.2 in 2024; category quartiles are category-specific and not collapsed here; https://www.mdpi.com/journal/energies
Chemical Communications,Chemical Communications,2025,4.2,,manual_lookup,Official RSC journal page surfaced via search on 2026-04-27; https://pubs.rsc.org/en/journals/journal/cc
