pdf_filename,pdf_path,matched_paper_id,matched_doi,matched_title,match_method,match_confidence,parse_status,parsed_text_path,page_count,text_length,failure_reason,ready_for_extraction,source_quality_type,manifest_updated,ingest_time
paper_0031.pdf,data\raw\pdfs\paper_0031.pdf,paper_0031,10.1016/s0360-3199(99)00011-7,Stoichiometric consideration of steam reforming of methane on Ni/Al2O3 catalyst at 650°C by using a solar furnace simulator,filename_paper_id,1.000,parsed,outputs\fulltext\pdf_text\paper_0031.txt,6,18780,,yes,pdf_fulltext,yes,2026-04-29T15:24:58+08:00
paper_0037.pdf,data\raw\pdfs\paper_0037.pdf,paper_0037,10.1016/s1385-8947(00)00367-3,The kinetics of methane steam reforming over a Ni/α-Al2O catalyst,filename_paper_id,1.000,parsed,outputs\fulltext\pdf_text\paper_0037.txt,11,39388,,yes,pdf_fulltext,yes,2026-04-29T15:24:58+08:00
paper_0056.pdf,data\raw\pdfs\paper_0056.pdf,paper_0056,10.1016/j.cej.2005.06.004,Kinetic and modelling study of methane steam reforming over sulfide nickel catalyst on a gamma alumina support,filename_paper_id,1.000,parsed,outputs\fulltext\pdf_text\paper_0056.txt,11,39388,,yes,pdf_fulltext,yes,2026-04-29T15:24:58+08:00
paper_0060.pdf,data\raw\pdfs\paper_0060.pdf,paper_0060,10.1016/j.jpowsour.2005.09.019,Steam reforming of methane over unsupported nickel catalysts,filename_paper_id,1.000,parsed,outputs\fulltext\pdf_text\paper_0060.txt,12,48781,,yes,pdf_fulltext,yes,2026-04-29T15:24:59+08:00
paper_0070.pdf,data\raw\pdfs\paper_0070.pdf,paper_0070,10.1016/j.apsusc.2006.09.054,Theoretical and experimental study of methane steam reforming reactions over nickel catalyst,filename_paper_id,1.000,parsed,outputs\fulltext\pdf_text\paper_0070.txt,11,48451,,yes,pdf_fulltext,yes,2026-04-29T15:24:59+08:00
paper_0101.pdf,data\raw\pdfs\paper_0101.pdf,paper_0101,10.1016/j.apcatb.2010.10.026,Effect of nickel nano-particle sintering on methane reforming activity of Ni-CGO cermet anodes for internal steam reforming SOFCs,filename_paper_id,1.000,parsed,outputs\fulltext\pdf_text\paper_0101.txt,9,29010,,yes,pdf_fulltext,yes,2026-04-29T15:24:59+08:00
paper_0103.pdf,data\raw\pdfs\paper_0103.pdf,paper_0103,10.1016/j.ijhydene.2010.06.049,H2 production by low pressure methane steam reforming in a Pd–Ag membrane reactor over a Ni-based catalyst: Experimental and modeling,filename_paper_id,1.000,parsed,outputs\fulltext\pdf_text\paper_0103.txt,11,40986,,yes,pdf_fulltext,yes,2026-04-29T15:24:59+08:00
paper_0150.pdf,data\raw\pdfs\paper_0150.pdf,paper_0150,10.1016/j.ijhydene.2015.06.104,Hydrogen production by steam reforming of methane over mixed Ni/MgAl + CrFe 3 O 4 catalysts,filename_paper_id,1.000,parsed,outputs\fulltext\pdf_text\paper_0150.txt,7,25104,,yes,pdf_fulltext,yes,2026-04-29T15:24:59+08:00
paper_0153.pdf,data\raw\pdfs\paper_0153.pdf,paper_0153,10.1021/acscatal.5b01221,Recent Advances on the Design of Group VIII Base-Metal Catalysts with Encapsulated Structures,filename_paper_id,1.000,parsed,outputs\fulltext\pdf_text\paper_0153.txt,19,103056,,yes,pdf_fulltext,yes,2026-04-29T15:24:59+08:00
paper_0157.pdf,data\raw\pdfs\paper_0157.pdf,paper_0157,10.1016/j.fuel.2016.03.104,Characterization and performance evaluation of Ni-based catalysts with Ce promoter for methane and hydrocarbons steam reforming process,filename_paper_id,1.000,parsed,outputs\fulltext\pdf_text\paper_0157.txt,9,35744,,yes,pdf_fulltext,yes,2026-04-29T15:25:00+08:00
paper_0158.pdf,data\raw\pdfs\paper_0158.pdf,paper_0158,10.1021/acscatal.6b01133,Differences in the Nature of Active Sites for Methane Dry Reforming and Methane Steam Reforming over Nickel Aluminate Catalysts,filename_paper_id,1.000,parsed,outputs\fulltext\pdf_text\paper_0158.txt,14,65393,,yes,pdf_fulltext,yes,2026-04-29T15:25:00+08:00
paper_0159.pdf,data\raw\pdfs\paper_0159.pdf,paper_0159,10.1016/j.ijhydene.2016.05.109,Effect of calcination temperature on stability and activity of Ni/MgAl2O4 catalyst for steam reforming of methane at high pressure condition,filename_paper_id,1.000,parsed,outputs\fulltext\pdf_text\paper_0159.txt,10,45517,,yes,pdf_fulltext,yes,2026-04-29T15:25:00+08:00
paper_0161.pdf,data\raw\pdfs\paper_0161.pdf,paper_0161,10.1016/j.ijhydene.2016.07.245,Kinetic assessment of Ni-based catalysts in low-temperature methane/biogas steam reforming,filename_paper_id,1.000,parsed,outputs\fulltext\pdf_text\paper_0161.txt,13,53346,,yes,pdf_fulltext,yes,2026-04-29T15:25:00+08:00
paper_0166.pdf,data\raw\pdfs\paper_0166.pdf,paper_0166,10.1016/j.ijhydene.2017.06.096,Effect of Pt doping on activity and stability of Ni/MgAl2O4 catalyst for steam reforming of methane at ambient and high pressure condition,filename_paper_id,1.000,parsed,outputs\fulltext\pdf_text\paper_0166.txt,9,37881,,yes,pdf_fulltext,yes,2026-04-29T15:25:01+08:00
paper_0180.pdf,data\raw\pdfs\paper_0180.pdf,paper_0180,10.1016/j.ijhydene.2019.04.287,Hydrogen production by steam reforming of methane over nickel based structured catalysts supported on calcium aluminate modified SiC,filename_paper_id,1.000,parsed,outputs\fulltext\pdf_text\paper_0180.txt,10,43213,,yes,pdf_fulltext,yes,2026-04-29T15:25:01+08:00
paper_0194.pdf,data\raw\pdfs\paper_0194.pdf,paper_0194,10.1039/d0ta11359j,Ni-based bimetallic nano-catalysts anchored on BaZr<sub>0.4</sub>Ce<sub>0.4</sub>Y<sub>0.1</sub>Yb<sub>0.1</sub>O<sub>3−δ</sub> for internal steam reforming of methane in a low-temperature proton-conducting ceramic fuel cell,filename_paper_id,1.000,parsed,outputs\fulltext\pdf_text\paper_0194.txt,14,60653,,yes,pdf_fulltext,yes,2026-04-29T15:25:01+08:00
paper_0199.pdf,data\raw\pdfs\paper_0199.pdf,paper_0199,10.1016/j.joei.2022.10.006,Hollow sphere Ni-based catalysts promoted with cerium for steam reforming of methane,filename_paper_id,1.000,parsed,outputs\fulltext\pdf_text\paper_0199.txt,13,45526,,yes,pdf_fulltext,yes,2026-04-29T15:25:02+08:00
paper_0208.pdf,data\raw\pdfs\paper_0208.pdf,paper_0208,10.1016/j.ijhydene.2023.09.167,Steam reforming of methane over nickel-aluminum spinel-derived catalyst,filename_paper_id,1.000,parsed,outputs\fulltext\pdf_text\paper_0208.txt,13,53346,,yes,pdf_fulltext,yes,2026-04-29T15:25:02+08:00
