paper_id,title,journal,doi,journal_impact_factor,priority_score,reason_needed,suggested_search_query,manual_status
paper_0158,Differences in the Nature of Active Sites for Methane Dry Reforming and Methane Steam Reforming over Nickel Aluminate Catalysts,ACS Catalysis,10.1021/acscatal.6b01133,13.1,98.5,IF>=6 journal article; Ni-based; SRM-relevant; no pdf_fulltext/html_fulltext in manifest,"""Differences in the Nature of Active Sites for Methane Dry Reforming and Methane Steam Reforming over Nickel Aluminate Catalysts"" ""10.1021/acscatal.6b01133"" PDF",pending
paper_0153,Recent Advances on the Design of Group VIII Base-Metal Catalysts with Encapsulated Structures,ACS Catalysis,10.1021/acscatal.5b01221,13.1,91.5,IF>=6 journal article; Ni-based; SRM-relevant; no pdf_fulltext/html_fulltext in manifest,"""Recent Advances on the Design of Group VIII Base-Metal Catalysts with Encapsulated Structures"" ""10.1021/acscatal.5b01221"" PDF",pending
paper_0194,Ni-based bimetallic nano-catalysts anchored on BaZr<sub>0.4</sub>Ce<sub>0.4</sub>Y<sub>0.1</sub>Yb<sub>0.1</sub>O<sub>3−δ</sub> for internal steam reforming of methane in a low-temperature proton-conducting ceramic fuel cell,Journal of Materials Chemistry A,10.1039/d0ta11359j,9.5,91.0,IF>=6 journal article; Ni-based; SRM-relevant; no pdf_fulltext/html_fulltext in manifest,"""Ni-based bimetallic nano-catalysts anchored on BaZr<sub>0.4</sub>Ce<sub>0.4</sub>Y<sub>0.1</sub>Yb<sub>0.1</sub>O<sub>3−δ</sub> for internal steam reforming of methane in a low-temperature proton-conducting ceramic fuel cell"" ""10.1039/d0ta11359j"" PDF",pending
paper_0221,"Support effect in Ni-based catalysts for methane steam reforming: Role of MxOy-Al2O3 (M = Ni, Mg, Co) supports for enhanced catalyst stability",Fuel Processing Technology,10.1016/j.fuproc.2025.108325,7.7,91.0,IF>=6 journal article; Ni-based; SRM-relevant; no pdf_fulltext/html_fulltext in manifest,"""Support effect in Ni-based catalysts for methane steam reforming: Role of MxOy-Al2O3 (M = Ni, Mg, Co) supports for enhanced catalyst stability"" ""10.1016/j.fuproc.2025.108325"" PDF",pending
paper_0101,Effect of nickel nano-particle sintering on methane reforming activity of Ni-CGO cermet anodes for internal steam reforming SOFCs,Applied Catalysis B: Environmental,10.1016/j.apcatb.2010.10.026,21.1,88.5,IF>=6 journal article; Ni-based; SRM-relevant; no pdf_fulltext/html_fulltext in manifest,"""Effect of nickel nano-particle sintering on methane reforming activity of Ni-CGO cermet anodes for internal steam reforming SOFCs"" ""10.1016/j.apcatb.2010.10.026"" PDF",pending
paper_0056,Kinetic and modelling study of methane steam reforming over sulfide nickel catalyst on a gamma alumina support,Chemical Engineering Journal,10.1016/j.cej.2005.06.004,13.2,88.5,IF>=6 journal article; Ni-based; SRM-relevant; no pdf_fulltext/html_fulltext in manifest,"""Kinetic and modelling study of methane steam reforming over sulfide nickel catalyst on a gamma alumina support"" ""10.1016/j.cej.2005.06.004"" PDF",pending
paper_0037,The kinetics of methane steam reforming over a Ni/α-Al2O catalyst,Chemical Engineering Journal,10.1016/s1385-8947(00)00367-3,13.2,88.5,IF>=6 journal article; Ni-based; SRM-relevant; no pdf_fulltext/html_fulltext in manifest,"""The kinetics of methane steam reforming over a Ni/α-Al2O catalyst"" ""10.1016/s1385-8947(00)00367-3"" PDF",pending
paper_0166,Effect of Pt doping on activity and stability of Ni/MgAl2O4 catalyst for steam reforming of methane at ambient and high pressure condition,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2017.06.096,8.3,88.0,IF>=6 journal article; Ni-based; SRM-relevant; no pdf_fulltext/html_fulltext in manifest,"""Effect of Pt doping on activity and stability of Ni/MgAl2O4 catalyst for steam reforming of methane at ambient and high pressure condition"" ""10.1016/j.ijhydene.2017.06.096"" PDF",pending
paper_0159,Effect of calcination temperature on stability and activity of Ni/MgAl2O4 catalyst for steam reforming of methane at high pressure condition,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2016.05.109,8.3,88.0,IF>=6 journal article; Ni-based; SRM-relevant; no pdf_fulltext/html_fulltext in manifest,"""Effect of calcination temperature on stability and activity of Ni/MgAl2O4 catalyst for steam reforming of methane at high pressure condition"" ""10.1016/j.ijhydene.2016.05.109"" PDF",pending
paper_0103,H2 production by low pressure methane steam reforming in a Pd–Ag membrane reactor over a Ni-based catalyst: Experimental and modeling,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2010.06.049,8.3,85.0,IF>=6 journal article; Ni-based; SRM-relevant; no pdf_fulltext/html_fulltext in manifest,"""H2 production by low pressure methane steam reforming in a Pd–Ag membrane reactor over a Ni-based catalyst: Experimental and modeling"" ""10.1016/j.ijhydene.2010.06.049"" PDF",pending
paper_0180,Hydrogen production by steam reforming of methane over nickel based structured catalysts supported on calcium aluminate modified SiC,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2019.04.287,8.3,84.0,IF>=6 journal article; Ni-based; SRM-relevant; no pdf_fulltext/html_fulltext in manifest,"""Hydrogen production by steam reforming of methane over nickel based structured catalysts supported on calcium aluminate modified SiC"" ""10.1016/j.ijhydene.2019.04.287"" PDF",pending
paper_0150,Hydrogen production by steam reforming of methane over mixed Ni/MgAl + CrFe 3 O 4 catalysts,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2015.06.104,8.3,84.0,IF>=6 journal article; Ni-based; SRM-relevant; no pdf_fulltext/html_fulltext in manifest,"""Hydrogen production by steam reforming of methane over mixed Ni/MgAl + CrFe 3 O 4 catalysts"" ""10.1016/j.ijhydene.2015.06.104"" PDF",pending
paper_0161,Kinetic assessment of Ni-based catalysts in low-temperature methane/biogas steam reforming,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2016.07.245,8.3,82.0,IF>=6 journal article; Ni-based; SRM-relevant; no pdf_fulltext/html_fulltext in manifest,"""Kinetic assessment of Ni-based catalysts in low-temperature methane/biogas steam reforming"" ""10.1016/j.ijhydene.2016.07.245"" PDF",pending
paper_0208,Steam reforming of methane over nickel-aluminum spinel-derived catalyst,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2023.09.167,8.3,81.0,IF>=6 journal article; Ni-based; SRM-relevant; no pdf_fulltext/html_fulltext in manifest,"""Steam reforming of methane over nickel-aluminum spinel-derived catalyst"" ""10.1016/j.ijhydene.2023.09.167"" PDF",pending
