field_name,non_empty_count,coverage_rate,high_confidence_ratio
digitized_from_plot,14,1.0,0.0
extraction_notes,14,1.0,0.0
measured_value_basis,14,1.0,0.0
active_metal_primary,12,0.8571,0.0
catalyst_family,12,0.8571,0.0
catalyst_label_reported,12,0.8571,0.0
support_primary,8,0.5714,0.0
stability_test_performed,5,0.3571,0.0
active_metal_secondary,3,0.2143,0.0
active_metal_primary_loading_wt_pct,2,0.1429,0.0
preparation_method,2,0.1429,0.0
reduction_time_h,1,0.0714,0.0
temperature_c,1,0.0714,0.0
active_metal_secondary_loading_wt_pct,0,0.0,0.0
active_metal_total_loading_wt_pct,0,0.0,0.0
calcination_temperature_c,0,0.0,0.0
co_selectivity_pct,0,0.0,0.0
coke_amount_mg_gcat,0,0.0,0.0
coke_amount_wt_pct,0,0.0,0.0
coking_test_method,0,0.0,0.0
conversion_drop_pct_points,0,0.0,0.0
gas_hourly_space_velocity_h_inv,0,0.0,0.0
h2_co_ratio,0,0.0,0.0
h2_selectivity_pct,0,0.0,0.0
h2_yield_pct,0,0.0,0.0
methane_conversion_pct,0,0.0,0.0
performance_definition_notes,0,0.0,0.0
pressure_bar,0,0.0,0.0
promoter_1,0,0.0,0.0
promoter_1_loading_wt_pct,0,0.0,0.0
reactor_type,0,0.0,0.0
reduction_gas,0,0.0,0.0
reduction_temperature_c,0,0.0,0.0
stability_duration_h,0,0.0,0.0
steam_to_carbon_ratio,0,0.0,0.0
support_secondary,0,0.0,0.0
time_on_stream_h,0,0.0,0.0
weight_hourly_space_velocity_h_inv,0,0.0,0.0
