paper_id,first_author,publication_year,title,journal,doi,catalyst_label_reported,catalyst_label_reported_source_excerpt,catalyst_family,catalyst_family_source_excerpt,active_metal_primary,active_metal_primary_source_excerpt,active_metal_secondary,active_metal_secondary_source_excerpt,active_metal_primary_loading_wt_pct,active_metal_primary_loading_wt_pct_source_excerpt,active_metal_secondary_loading_wt_pct,active_metal_secondary_loading_wt_pct_source_excerpt,active_metal_total_loading_wt_pct,active_metal_total_loading_wt_pct_source_excerpt,active_metal_loading_basis,support_primary,support_primary_source_excerpt,support_secondary,support_secondary_source_excerpt,promoter_1,promoter_1_source_excerpt,promoter_1_loading_wt_pct,promoter_1_loading_wt_pct_source_excerpt,preparation_method,preparation_method_source_excerpt,calcination_temperature_c,calcination_temperature_c_source_excerpt,reduction_temperature_c,reduction_temperature_c_source_excerpt,reduction_time_h,reduction_time_h_source_excerpt,reduction_gas,reduction_gas_source_excerpt,source_file_path,source_excerpt_metadata,extraction_confidence_metadata
paper_0031,Yokota,2000.0,Stoichiometric consideration of steam reforming of methane on Ni/Al2O3 catalyst at 650°C by using a solar furnace simulator,International Journal of Hydrogen Energy,10.1016/s0360-3199(99)00011-7,Stoichiometric consideration of steam reforming of methane on Ni/Al2O3 catalyst at 650°C by using a solar furnace simulator,Stoichiometric consideration of steam reforming of methane on Ni/Al2O3 catalyst at 650°C by using a solar furnace simulator,Ni_based,Stoichiometric consideration of steam reforming of methane on Ni/Al2O3 catalyst at 650°C by using a solar furnace simulator,Ni,Stoichiometric consideration of steam reforming of methane on Ni/Al2O3 catalyst at 650°C by using a solar furnace simulator,Rh,Stoichiometric consideration of steam reforming of methane on Ni/Al2O3 catalyst at 650°C by using a solar furnace simulator,14,ht source (solar simulator). 2. experiment a nickel-on-alumina catalyst sample (14wt% ni) was prepared from ni(no 3)26h2o (1.01 g) and a- al2o3 powder (0.149 g) by sim,,,,,unclear,Al2O3,Stoichiometric consideration of steam reforming of methane on Ni/Al2O3 catalyst at 650°C by using a solar furnace simulator,BaZrCeYYbO3,Stoichiometric consideration of steam reforming of methane on Ni/Al2O3 catalyst at 650°C by using a solar furnace simulator,,,,,impregnation,s prepared from Ni(NO 3)26H2O (1.01 g) and a- Al2O3 powder (0.149 g) by simple impregnation. The Ni(NO3)26H2O powder was dissolved in the a-Al2O3 powder suspended solutio,,,,,,,,,outputs\fulltext\pdf_text\paper_0031.txt,"Stoichiometric consideration of steam reforming of methane on Ni/Al 2O3 catalyst at 650 8C by using a solar furnace simulator Osamu Yokota, Yoshinori Oku, Taizo Sano, Noriko Hasegawa, Jun Matsunami, Masamichi Tsuji, Yutaka Tamaura* Research Center for Carbon Recycling and Utilization, Tokyo Institute of Technology, 2-12-1 Ookayama, Meguro-ku, Tokyo 152-8552, Japan Abstract Stoichiometry of the ste",low_to_medium
paper_0037,Kaihu Hou,2001.0,The kinetics of methane steam reforming over a Ni/α-Al2O catalyst,Chemical Engineering Journal,10.1016/s1385-8947(00)00367-3,The kinetics of methane steam reforming over a Ni/α-Al2O catalyst,The kinetics of methane steam reforming over a Ni/α-Al2O catalyst,Ni_based,The kinetics of methane steam reforming over a Ni/α-Al2O catalyst,Ni,The kinetics of methane steam reforming over a Ni/α-Al2O catalyst,Co,The kinetics of methane steam reforming over a Ni/α-Al2O catalyst,,,,,,,unclear,Al2O3,The kinetics of methane steam reforming over a Ni/α-Al2O catalyst,BaZrCeYYbO3,The kinetics of methane steam reforming over a Ni/α-Al2O catalyst,,,,,,,,,,,,,,,outputs\fulltext\pdf_text\paper_0037.txt,"Chemical Engineering Journal 112 (2005) 1–11 Kinetic and modelling study of methane steam reforming over sulﬁde nickel catalyst on a gamma alumina support D.L. Hoang ∗, S.H. Chan, O.L. Ding Fuel Cell Strategic Research Programme, School of Mechanical & Production Engineering, Nanyang Technological University, 50Nanyang Avenue, Singapore 639798, Singapore Received 8 March 2005; received in revised ",low_to_medium
paper_0056,D.L. Hoang,2005.0,Kinetic and modelling study of methane steam reforming over sulfide nickel catalyst on a gamma alumina support,Chemical Engineering Journal,10.1016/j.cej.2005.06.004,Kinetic and modelling study of methane steam reforming over sulfide nickel catalyst on a gamma alumina support,Kinetic and modelling study of methane steam reforming over sulfide nickel catalyst on a gamma alumina support,Ni_based,Kinetic and modelling study of methane steam reforming over sulfide nickel catalyst on a gamma alumina support,Ni,Kinetic and modelling study of methane steam reforming over sulfide nickel catalyst on a gamma alumina support,Co,Kinetic and modelling study of methane steam reforming over sulfide nickel catalyst on a gamma alumina support,,,,,,,unclear,Al2O3,Kinetic and modelling study of methane steam reforming over sulfide nickel catalyst on a gamma alumina support,BaZrCeYYbO3,Kinetic and modelling study of methane steam reforming over sulfide nickel catalyst on a gamma alumina support,,,,,,,,,,,,,,,outputs\fulltext\pdf_text\paper_0056.txt,"Chemical Engineering Journal 112 (2005) 1–11 Kinetic and modelling study of methane steam reforming over sulﬁde nickel catalyst on a gamma alumina support D.L. Hoang ∗, S.H. Chan, O.L. Ding Fuel Cell Strategic Research Programme, School of Mechanical & Production Engineering, Nanyang Technological University, 50Nanyang Avenue, Singapore 639798, Singapore Received 8 March 2005; received in revised ",low_to_medium
paper_0060,Souad Rakass,2005.0,Steam reforming of methane over unsupported nickel catalysts,Journal of Power Sources,10.1016/j.jpowsour.2005.09.019,Steam reforming of methane over unsupported nickel catalysts,Steam reforming of methane over unsupported nickel catalysts,Ni_based,Steam reforming of methane over unsupported nickel catalysts,Ni,Steam reforming of methane over unsupported nickel catalysts,Co,Steam reforming of methane over unsupported nickel catalysts,15,"ed-nickel catalysts. dong et al. [20] have obtained 97% methane conversion over 15% ni/ce- zro 2 at 750 ◦c for ch4:h2o ratio of 1:3. also, roh et al. [15] have obtain",100,"ectivity (%) = ( pco2 (pco + pco2 ) ) × 100%, co yield (%)= ( pco (pch4 in) ) × 100% co2 yield (%) = ( pco2 (pch4 in) ) × 100%, ghsv = f v (h−1). f is the volume of re",,,unclear,Al2O3,Steam reforming of methane over unsupported nickel catalysts,CeO2,Steam reforming of methane over unsupported nickel catalysts,,,,,,,,,,,9,"ntribute to the deactivation of supported ni catalyst [4,6,10,19,21] due to the reduction of the accessible catalytic surface and the blocking of pores. two different but quite general models have been pro- posed for sintering of supported metal catalysts, i.e. the atomic migration and the crystallite migration models [19]. it has been reported that the presence of strong metal-support interactions affects the spreading, wetting and re-dispersion of the supported metals. other factors can affect the stability of a metal crystallite towards sintering, e.g. shape and size of the crystallite, support roughness and pore size, impurities present in either the support or the metal [19,21]. sintering occurs in both supported and unsupported metal catalysts. we have observed high catalytic activity (98± 2% at 700 ◦c for ch 4:h2o ratio 1:2) and stability over the unsup- ported ni catalyst used. fig. 8 shows the sem images of both used ni catalyst after steam reforming of methane and the nickel catalyst subjected to a thermal treatment at temperature 700 ◦c under a pure ar atmosphere. fig. 8 shows that sintering does not appear to signiﬁcantly reduce the available effective surface of catalyst in both cases. remarkably, the quartz wool used to retain the nickel powders in the reactor tubes during the reformer evaluations appears to play an important role in maintaining the opening pores of the nickel catalyst, but the mechanism for this is not clear at this time; tests performed without the sup- porting quartz wool created highly distorted ni samples, and considerable volume reduction due to sintering.fig. 9 compares the pellet obtained after the steam reforming of methane using the quartz wool and that without the quartz wool, and shows the remarkable changes in the form of pellet. bet analysis of the quartz-supported nickel catalyst before and after thermal cycling shows that the speciﬁc surface does not decrease with the increase of temperature. we have previously reported that the catalytic activity of unsupported nickel catalyst in steam reforming of methane is dependent of the morphology of the nickel powders [23] and have suggested that the catalytic activ- ity is approximately proportional to the external surface area of the catalyst as reported by rostrup-nielsen [4]. thus, we can conclude that limited sintering of unsupported ni catalyst dur- ing the steam reforming of methane has no signiﬁcant effect on the catalytic activity via changes of the accessible surface area. the results presented above demonstrate that reforming capa- bilities of the unsupported ni catalysts conform closely to the theoretical predictions when operated with a ch 4:h2o = 1:2 fuel gas ratio. the catalytic activity remains high over extended 492 s. rakass et al. / journal of power sources 158 (2006) 485–496 fig. 9. pellets obtained after the steam reforming of methane for 9 h using the quartz wool and that without the quartz wool. reaction conditions: p(",,,outputs\fulltext\pdf_text\paper_0060.txt,"Journal of Power Sources 158 (2006) 485–496 Steam reforming of methane over unsupported nickel catalysts S. Rakass a, H. Oudghiri-Hassani a, P. Rowntreea,1, N. Abatzoglou b,∗ a D´epartement de chimie, Universit´e de Sherbrooke, 2500 Boul. Universit´e, Sherbrooke Quebec, Canada J1K 2R1 b D´epartement de g´enie chimique, Universit´e de Sherbrooke, Boul. Universit´e, Sherbrooke, Quebec, Canada Receiv",low_to_medium
paper_0070,Carolina Pistonesi,2006.0,Theoretical and experimental study of methane steam reforming reactions over nickel catalyst,Applied Surface Science,10.1016/j.apsusc.2006.09.054,Theoretical and experimental study of methane steam reforming reactions over nickel catalyst,Theoretical and experimental study of methane steam reforming reactions over nickel catalyst,Ni_based,Theoretical and experimental study of methane steam reforming reactions over nickel catalyst,Ni,Theoretical and experimental study of methane steam reforming reactions over nickel catalyst,Rh,Theoretical and experimental study of methane steam reforming reactions over nickel catalyst,,,,,,,unclear,BaZrCeYYbO3,Theoretical and experimental study of methane steam reforming reactions over nickel catalyst,SiC,Theoretical and experimental study of methane steam reforming reactions over nickel catalyst,,,,,,,,,,,,,,,outputs\fulltext\pdf_text\paper_0070.txt,"Theoretical and experimental study of methane steam reforming reactions over nickel catalyst C. Pistonesi b, A. Juan b, B. Irigoyen a,*, N. Amadeo a a Laboratorio de Procesos Catalı´ticos, Departamento de Ingenierı´a Quı´mica, Facultad de Ingenierı´a, Universidad de Buenos Aires, Pabello´n de Industrias, Ciudad Universitaria, 1428 Capital Federal, Argentina b Departamento de Fı´sica, Universidad N",low_to_medium
paper_0101,D. Hari Prasad,2010.0,Effect of nickel nano-particle sintering on methane reforming activity of Ni-CGO cermet anodes for internal steam reforming SOFCs,Applied Catalysis B: Environmental,10.1016/j.apcatb.2010.10.026,Effect of nickel nano-particle sintering on methane reforming activity of Ni-CGO cermet anodes for internal steam reforming SOFCs,Effect of nickel nano-particle sintering on methane reforming activity of Ni-CGO cermet anodes for internal steam reforming SOFCs,Ni_based,Effect of nickel nano-particle sintering on methane reforming activity of Ni-CGO cermet anodes for internal steam reforming SOFCs,Ni,Effect of nickel nano-particle sintering on methane reforming activity of Ni-CGO cermet anodes for internal steam reforming SOFCs,Co,Effect of nickel nano-particle sintering on methane reforming activity of Ni-CGO cermet anodes for internal steam reforming SOFCs,,,,,,,unclear,CeO2,Effect of nickel nano-particle sintering on methane reforming activity of Ni-CGO cermet anodes for internal steam reforming SOFCs,BaZrCeYYbO3,Effect of nickel nano-particle sintering on methane reforming activity of Ni-CGO cermet anodes for internal steam reforming SOFCs,,,,,combustion,"ources of Ce, Gd and Ni, respectively. Glycine (Junsei Chemicals) was used as a combustion fuel for GNP. In a typical single step GNP for NiO–CGO powders, stoichiometric",,,,,2,"diffraction (xrd), bet sur- face area ( s bet), hydrogen-temperature programmed reduction (h2-tpr), chn, scanning electron microscopy (sem) and transmis- sion electron microscopy/energy-dispersive x-ray spectroscopy (tem/eds) analysis. effects of various operating conditions such as the temperature, the ﬂow rate and the steam-to-carbon ratio (s/c) on the catalytic activity of ni-cgo anode cermet powders were examined. long-term catalytic stability of ni-cgo cata- lyst under steam lean and excess steam conditions was also investigated. 2. experimental 2.1. catalyst preparation a single step synthesis of the nio–cgo composite powder and the cgo powder was successfully obtained by the gnp method and the synthesis procedure was reported elsewhere [18–20]. ce(no 3)3·6h2o (kanto chemicals), gd(no3)3·6h2o (aldrich chem- icals), and ni(no 3)3·6h2o (junsei chemicals) were used as the sources of ce, gd and ni, respectively. glycine (junsei chemicals) was used as a combustion fuel for gnp. in a typical single step gnp for nio–cgo powders, stoichiometric amounts of ce(no 3)3·6h2o and gd(no 3)3·6h2o were taken to obtain the ce 0.9gd0.1o1.95 solid solution as one component and a stoichiometric amount of ni(no3)2·6h2o (40 vol.% ni in the ﬁnal ni-cgo composition) was added as a second component. these chemical compounds were dissolved in distilled water and 0.55 mol of glycine was added for each mole of nitrate. the mixture was heated on a hot plate to evaporate water present in the solution. combustion was carried out in a large volume beaker on a hot plate being installed in a table 1 bet speciﬁc surface area and crystallite size of cgo and nio–cgo powders prepared by glycine-nitrate-process. sample powder sbet (m2/g) crystallite size (nm) a cgo nio as-prepared cgo 27.9 17.1 – as-prepared nio–cgo 9.2 27.4 26.9 nio–cgo (heat treatment at 1400 ◦c) 4.1 57.6 54.7 a calculated via scherrer’s equation from xrd patterns. fume hood. the beaker was covered with a nickel mesh to conﬁne the ash within the reaction chamber. the solution heated on the hot plate was thickened and ignited. the obtained powder was col- lected from the reaction chamber, ball milled and heat treated at 1400 ◦c for 2 h. fig. 2. h2-tpr of (a) pure nio and cgo powders and (b) nio–cgo cermet powder a",,,outputs\fulltext\pdf_text\paper_0101.txt,"Applied Catalysis B: Environmental 101 (2011) 531–539 Contents lists available at ScienceDirect Applied Catalysis B: Environmental journal homepage: www.elsevier.com/locate/apcatb Effect of nickel nano-particle sintering on methane reforming activity of Ni-CGO cermet anodes for internal steam reforming SOFCs D. Hari Prasada,b, H.-I. Jia, H.-R. Kima, J.-W. Sona, B.-K. Kima, H.-W. Leea, J.-H. Leea,∗",medium
paper_0103,Adolfo Iulianelli,2010.0,H2 production by low pressure methane steam reforming in a Pd–Ag membrane reactor over a Ni-based catalyst: Experimental and modeling,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2010.06.049,H2 production by low pressure methane steam reforming in a Pd–Ag membrane reactor over a Ni-based catalyst: Experimental and modeling,H2 production by low pressure methane steam reforming in a Pd–Ag membrane reactor over a Ni-based catalyst: Experimental and modeling,Ni_based,H2 production by low pressure methane steam reforming in a Pd–Ag membrane reactor over a Ni-based catalyst: Experimental and modeling,Ni,H2 production by low pressure methane steam reforming in a Pd–Ag membrane reactor over a Ni-based catalyst: Experimental and modeling,Rh,H2 production by low pressure methane steam reforming in a Pd–Ag membrane reactor over a Ni-based catalyst: Experimental and modeling,47.2,10.3 500 1.4 a e ni/al2o3 3/1 1067 e 50 e shu et al. [22] pd-pss 11 527a 3.0a e 47.2wt% ni/al 2o3 3/1 1120 482 a (n2) 100 e tong et al. [20] 3360 60 pd-pss 11 527a 3.0a e,,,,,unclear,Al2O3,H2 production by low pressure methane steam reforming in a Pd–Ag membrane reactor over a Ni-based catalyst: Experimental and modeling,TiO2,H2 production by low pressure methane steam reforming in a Pd–Ag membrane reactor over a Ni-based catalyst: Experimental and modeling,noble,"005;286:226 e31. [21] profeti lpr, ticianelli ea, assaf em. co/al 2o3 catalysts promoted with noble metals for production of hydrogen by methane steam reforming. fuel 2008;87:2076",,,combustion,"emical devices producing electricity directly from hydrogen and oxygen, without combustion, making the process clean and non-polluting. PEMFCs present several advantages",,,,,2,"en in 90 min at steady-state conditions. before reaction, the catalytic bed was reduced by using hydrogen (1.1 /c2 10 /c0 2 mol/min) at 450 /c14 c for 2 h. a ﬂat temperature proﬁle along the reactor was conﬁrmed during the reaction by",,,outputs\fulltext\pdf_text\paper_0103.txt,"H2 production by low pressure methane steam reforming in aP d eAg membrane reactor over a Ni-based catalyst: Experimental and modeling A. Iulianelli a, G. Manzolini b, M. De Falco c, S. Campanari b, T. Longo a, S. Liguori a,d, A. Basile a,* a Institute on Membrane Technology of National Research Council (ITM-CNR), Via P. Bucci Cubo 17/C, c/o University of Calabria, Rende (CS) 87036, Italy b Dept. ",medium
paper_0150,Na Young Kim,2015.0,Hydrogen production by steam reforming of methane over mixed Ni/MgAl + CrFe 3 O 4 catalysts,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2015.06.104,Hydrogen production by steam reforming of methane over mixed Ni/MgAl + CrFe 3 O 4 catalysts,Hydrogen production by steam reforming of methane over mixed Ni/MgAl + CrFe 3 O 4 catalysts,Ni_based,Hydrogen production by steam reforming of methane over mixed Ni/MgAl + CrFe 3 O 4 catalysts,Ni,Hydrogen production by steam reforming of methane over mixed Ni/MgAl + CrFe 3 O 4 catalysts,Co,Hydrogen production by steam reforming of methane over mixed Ni/MgAl + CrFe 3 O 4 catalysts,15,", by increasing the intrinsic activity. in this work, the physically mixed srm (15 wt% ni/ mgal 2o4) þ wgs (10 wt% cr/fe 3o4) catalyst was investigated for greater hydro",,,,,unclear,Al2O3,Hydrogen production by steam reforming of methane over mixed Ni/MgAl + CrFe 3 O 4 catalysts,CeO2,Hydrogen production by steam reforming of methane over mixed Ni/MgAl + CrFe 3 O 4 catalysts,the,"2þ to ni0 [17]. fe/ni/ mgal catalyst showed two main reduction peaks because of the promoter effect, and the lower temperature peak around 390 /c14 c suggests the presence",,,impregnation,pared to Ni/ MgAl and iron or chromium promoted M/Ni/MgAl catalysts prepared by impregnation method. Catalysts were characterized by various analytical techniques such as n,,,,,2,"ing bjh method) and average pore diameter were obtained. temperature programmed reduction (tpr) experiments were carried out using a temperature programmed analyzer (autochem 2910, micromeritics co., usa). for tpr studies, approximately 100 mg of calcined sample was placed between quartz wool in a u-shape quartz reactor. each sample was thermally treated under he stream at 300 /c14 c for 2 h to remove physically adsorbed water and other impurities. the catalysts were co",,,outputs\fulltext\pdf_text\paper_0150.txt,"Hydrogen production by steam reforming of methane over mixed Ni/MgAl þ CrFe3O4 catalysts Na Young Kim a,b, Eun-Hyeok Yang a,d, Sung-Soo Lim a,c, Jae Sun Jung a,d, Jae-Suk Lee a,d, Gi Hoon Hong a,d, Young-Su Noh a,b, Kwan Young Lee b,c, Dong Ju Moon a,d,* a Clean Energy Research Center, KIST, Seoul, Republic of Korea b Department of Biological & Chemical Engineering, Korea University, Seoul, Republ",medium
paper_0153,Hao Tian,2015.0,Recent Advances on the Design of Group VIII Base-Metal Catalysts with Encapsulated Structures,ACS Catalysis,10.1021/acscatal.5b01221,Recent Advances on the Design of Group VIII Base-Metal Catalysts with Encapsulated Structures,Recent Advances on the Design of Group VIII Base-Metal Catalysts with Encapsulated Structures,Ni_based,Recent Advances on the Design of Group VIII Base-Metal Catalysts with Encapsulated Structures,Ni,Recent Advances on the Design of Group VIII Base-Metal Catalysts with Encapsulated Structures,Rh,Recent Advances on the Design of Group VIII Base-Metal Catalysts with Encapsulated Structures,92,one example of ni-based catalysts is nickel phyllosilicate nanotubes (ni/ps n).92 ni/psn was controllably synthesized via an alkalinity-tuned hydrothermal method ( f,,,,,unclear,Al2O3,Recent Advances on the Design of Group VIII Base-Metal Catalysts with Encapsulated Structures,CeO2,Recent Advances on the Design of Group VIII Base-Metal Catalysts with Encapsulated Structures,,,,,impregnation,"loyed to ﬁll CNT channels with metals, such as arc discharge, vapor deposition, impregnation, and so on. 69−73 Considering the simplicity and universality, the impregnation",,,,,33,"ater-in-oil (w/o) microemulsion; polyoxyethylene (n = 15) cetyl ether ni(no3)2, reduction by n 2h4·h2o <5 nm teos ∼20 nm takenaka et al. 36,37 ni@sio2 core@shell nanotube w/o microemulsion; polyoxyethylene ( n = 10) cetyl ether ni(no3)2, reduction by n 2h4·h2o 6.6 −10.7 nm teos 5.1 −12.4 nm dahlberg et al. 38 α-fe2o3@sio2 core@shell modi ﬁed sto ̈ber method fecl 3·6h2o with l-lysine 35, 47, and 75 nm teos with pvp and ctabr ∼20 nm feyen et al. 42 ni@sio2 core@shell modi ﬁed sto ̈ber method ni(no 3)2·6h2o, no reduction with peg 6−45 nm teos with pvp 10 −60 nm li et al. 43 co@sio2 core@shell modi ﬁed sto ̈ber method co(no 3)3·6h2o with hmt ∼10 nm teos with pvp and h2o2 5−20 nm zeng et al. 45−47 co3o4@sio2 core@shell modi ﬁed sto ̈ber method co(no 3)3·6h2o with pvp ∼15 nm teos with tmb and ctacl ∼40 nm karandikar et al. 48 α-fe2o3@sio2 core@shell sonication-assisted sto ̈ber method fe(no 3)3·9h2o with pvp 30 −50 nm teos with c 18tms ∼25 nm li et al. 49 ni@sio2 yolk@shell w/o microemulsion with etching; igepal co-630 ni(acac) 2, reduction by top in oleylamine ∼3 nm tmos with c 18tms ∼6 nm park et al. 51 ni-yolk@ni@sio2 w/o microemulsion; igepal co-630 ni(acac) 2, reduction by top in oleylamine 11.7 nm teos 3.3 −15.1 nm li et al. 52 co@sio2 yolk@shell w/o microemulsion with etching; igepal co-630 co(acac) 2 in oleylamine ∼14 nm tmos with c 18tms ∼10 nm park et al. 53 ni@sio2 yolk@shell sto ̈ber method with etching ni(acac) 2, reduction by pvp in pd ∼24 nm tmos with c 18tms ∼7 nm park et al. 54 abbreviations: teos, tetraethyl orthosilicate; pvp, poly(vinylpyrolidone); ctabr, cetyltetramethylamonium bromide; peg, polyethylene glyco l; hmt, hexamethylenetetramine, tmb, trimethylbenzene; ctacl, cetyltetramethylamonium chloride; c 18tms, octadecyltrimethoxysilane; ni(acac) 2, nickel(ii) acetylacetonate; top, trioctylphosphine; tmos, tetramethyl orthosilicate; pd, 1,5-pentanediol. acs catalysis review doi: 10.1021/acscatal.5b01221 acs catal. 2015, 5, 4959 −4977 4961 agent, respectively. the α-fe2o3@sio2 core@shell catalysts maintained 80% conversion in ammonia decomposition upon 750 °c for 33 h with a space velocity of 120 000 cm 3 gcat −1 h−1.42 similarly, the addition of",,,outputs\fulltext\pdf_text\paper_0153.txt,"Recent Advances on the Design of Group VIII Base-Metal Catalysts with Encapsulated Structures Hao Tian, Xinyu Li, Liang Zeng, and Jinlong Gong * Key Laboratory for Green Chemical Technology of Ministry of Education, School of Chemical Engineering and Technology, Tianjin University, Collaborative Innovation Center of Chemical Science and Engineering, Tianjin 300072, China ABSTRACT: Inexpensive grou",medium
paper_0157,Xia Yang,2016.0,Characterization and performance evaluation of Ni-based catalysts with Ce promoter for methane and hydrocarbons steam reforming process,Fuel,10.1016/j.fuel.2016.03.104,Characterization and performance evaluation of Ni-based catalysts with Ce promoter for methane and hydrocarbons steam reforming process,Characterization and performance evaluation of Ni-based catalysts with Ce promoter for methane and hydrocarbons steam reforming process,Ni_based,Characterization and performance evaluation of Ni-based catalysts with Ce promoter for methane and hydrocarbons steam reforming process,Ni,Characterization and performance evaluation of Ni-based catalysts with Ce promoter for methane and hydrocarbons steam reforming process,Rh,Characterization and performance evaluation of Ni-based catalysts with Ce promoter for methane and hydrocarbons steam reforming process,13,"ournal homepage: www.else vier.com/l ocate/fuel was investigated. the ni–ce/al (13 wt% ni and 1.02 wt% ce) cata- lyst showed excellent catalytic reforming activity, high",,,,,unclear,Al2O3,Characterization and performance evaluation of Ni-based catalysts with Ce promoter for methane and hydrocarbons steam reforming process,CeO2,Characterization and performance evaluation of Ni-based catalysts with Ce promoter for methane and hydrocarbons steam reforming process,ce,characterization and performance evaluation of ni-based catalysts with ce promoter for methane and hydrocarbons steam reforming process characterization and perfo,1.02,"ption, xrd, and tem. the optimal intrinsic activity was achieved over ni–ce/al (1.02 wt% ce) by atmospheric pressure micro-reaction device at steam/methane of 3.0, ch 4 sp",impregnation,"paration The Ni-based steam reforming catalyst was prepared by a con- ventional impregnation method. Initially the industrial Al 2O3 pow- der, modiﬁed cement after ball mil",,,,,6,"2o3 [26]. it was reported that ce presented a promoting effect in the degree of reduction of ni and the amount and strength of the basic sites. some previous work shows a beneﬁcial effect of cerium in the catalytic activity and selectivity of the steam reforming process [27]. in this study, ni-based catalysts with cerium additive were prepared by a simple impregnating method on a suitable support. the effect of ce content on the physicochemical properties and cat- alytic performance of ni–ce/al catalysts in the steam reforming http://dx.doi.org/10.1016/j.fuel.2016.03.104 0016-2361//c2112016 elsevier ltd. all rights reserved. ⇑ corresponding author at: school of chemical engineering and technology, tianjin university, tianjin 300072, pr china. tel.: +86 533 7588467; fax: +86 533 7588919. e-mail address: 1007595611@qq.com (x. yang). fuel 179 (2016) 353–361 contents lists available at sciencedirect fuel journal homepage: www.else vier.com/l ocate/fuel was investigated. the ni–ce/al (13 wt% ni and 1.02 wt% ce) cata- lyst showed excellent catalytic reforming activity, high stability and anti-carbon property over long period. 2. experimental 2.1. materials ni(no3)2/c1 6h2o, ce(no3)3/c1 6h2o, al2o3 and the modiﬁed cement were used in the present study. all other chemicals were of chem- ical reagent grade and used directly in the industrial production. 2.2. catalyst preparation the ni-based steam reforming catalyst was prepared by a con- ventional impregnation method. initially the industrial al 2o3 pow- der, modiﬁed cement after ball milling, pressing and molding, roasting, was produced to the special al 2o3 and cement support (four hole rings of average length 16 mm and outside diameter 16 mm and hole diameter 4 mm). then the nickel metal catalysts supported on al 2o3 and cement support were prepared by wet impregnation method using nickel nitrate hex-hydrate and cerium nitrate hex-hydrate as precursor. metal precursors with the mea- sured quantities equivalent to the desired ni and ce loading were ﬁrst dissolved in distilled water with the volume equal to or slightly in excess of the total pore volume of the support. com- pared with the sequential incorporation, the simultaneous impreg- nation of nickel and cerium is more conducive to the interval and dispersion of the additive cerium to metal nickel, thereby helps the active nickel to disperse evenly. after impregnation, the wet sam- ples were subsequently dried overnight at 120 /c176c and followed cal- cination at 750 /c176c in presence of air for 6 h. the ni loading on the catalysts was 13 wt%, and the ce loading on the catalyst",,,outputs\fulltext\pdf_text\paper_0157.txt,"Characterization and performance evaluation of Ni-based catalysts with Ce promoter for methane and hydrocarbons steam reforming process Xia Yang a,b,⇑, Jianwen Da b, Hantao Yu b, Hao Wang b a School of Chemical Engineering and Technology, Tianjin University, Tianjin 300072, PR China b Qilu Branch Corporation of SINOPEC, Zibo, Shandong 255400, PR China article info Article history: Received 14 Octo",medium
