paper_id,doi,title,document_type,priority_rank,priority_score,journal,journal_impact_factor,source_url,attempted_url,fetch_status,fetch_attempts,last_fetch_time,retry_recommended,failure_reason,local_saved_path,content_type,content_length,has_useful_text,ready_for_extraction,best_local_saved_path,best_source_file_name,local_path_exists,local_file_nonempty,best_source_score,checked_text_length,redirect_hits,domain_keyword_count,experimental_keyword_count,contains_msr_terms,contains_condition_terms,contains_performance_terms,has_useful_domain_text,ready_for_metadata,ready_for_experimental,ready_for_extraction_checked,page_quality_label,not_ready_reason,source_quality_type,source_quality_score,allowed_extraction_scope,extraction_strategy,recommended_next_action,source_excerpt_preview
paper_0031,10.1016/s0360-3199(99)00011-7,Stoichiometric consideration of steam reforming of methane on Ni/Al2O3 catalyst at 650°C by using a solar furnace simulator,journal_article,27,81.0,International Journal of Hydrogen Energy,8.3,data\raw\pdfs\paper_0031.pdf,data\raw\pdfs\paper_0031.pdf,success_local_pdf,2,2026-04-29T15:21:24+08:00,no,,outputs\fulltext\pdf_text\paper_0031.txt,application/pdf; parsed_text_cache,208091,yes,yes,outputs\fulltext\pdf_text\paper_0031.txt,paper_0031.txt,yes,yes,36,18780,,6,2,yes,yes,no,yes,yes,yes,yes,strong_for_experimental,weak_experimental_signal,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,"Stoichiometric consideration of steam reforming of methane on Ni/Al 2O3 catalyst at 650 8C by using a solar furnace simulator Osamu Yokota, Yoshinori Oku, Taizo Sano, Noriko Hasegawa, Jun Matsunami, Masamichi Tsuji, Yutaka Tamaura* Research Center for Carbon Recycling and Utilization, Tokyo Institute of Technology, 2-12-1 Ookayama, Meguro-ku, Tokyo 152-8552, Japan Abstract Stoichiometry of the ste"
paper_0037,10.1016/s1385-8947(00)00367-3,The kinetics of methane steam reforming over a Ni/α-Al2O catalyst,journal_article,17,88.5,Chemical Engineering Journal,13.2,data\raw\pdfs\paper_0037.pdf,data\raw\pdfs\paper_0037.pdf,success_local_pdf,2,2026-04-29T15:21:24+08:00,no,,outputs\fulltext\pdf_text\paper_0037.txt,application/pdf; parsed_text_cache,593525,yes,yes,outputs\fulltext\pdf_text\paper_0037.txt,paper_0037.txt,yes,yes,56,39388,,8,4,yes,yes,yes,yes,yes,yes,yes,strong_for_experimental,,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,"Chemical Engineering Journal 112 (2005) 1–11 Kinetic and modelling study of methane steam reforming over sulﬁde nickel catalyst on a gamma alumina support D.L. Hoang ∗, S.H. Chan, O.L. Ding Fuel Cell Strategic Research Programme, School of Mechanical & Production Engineering, Nanyang Technological University, 50Nanyang Avenue, Singapore 639798, Singapore Received 8 March 2005; received in revised "
paper_0056,10.1016/j.cej.2005.06.004,Kinetic and modelling study of methane steam reforming over sulfide nickel catalyst on a gamma alumina support,journal_article,16,88.5,Chemical Engineering Journal,13.2,data\raw\pdfs\paper_0056.pdf,data\raw\pdfs\paper_0056.pdf,success_local_pdf,2,2026-04-29T15:21:24+08:00,no,,outputs\fulltext\pdf_text\paper_0056.txt,application/pdf; parsed_text_cache,594936,yes,yes,outputs\fulltext\pdf_text\paper_0056.txt,paper_0056.txt,yes,yes,56,39388,,8,4,yes,yes,yes,yes,yes,yes,yes,strong_for_experimental,,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,"Chemical Engineering Journal 112 (2005) 1–11 Kinetic and modelling study of methane steam reforming over sulﬁde nickel catalyst on a gamma alumina support D.L. Hoang ∗, S.H. Chan, O.L. Ding Fuel Cell Strategic Research Programme, School of Mechanical & Production Engineering, Nanyang Technological University, 50Nanyang Avenue, Singapore 639798, Singapore Received 8 March 2005; received in revised "
paper_0060,10.1016/j.jpowsour.2005.09.019,Steam reforming of methane over unsupported nickel catalysts,journal_article,26,81.0,Journal of Power Sources,7.9,data\raw\pdfs\paper_0060.pdf,data\raw\pdfs\paper_0060.pdf,success_local_pdf,2,2026-04-29T15:21:24+08:00,no,,outputs\fulltext\pdf_text\paper_0060.txt,application/pdf; parsed_text_cache,2272160,yes,yes,outputs\fulltext\pdf_text\paper_0060.txt,paper_0060.txt,yes,yes,72,48781,,10,8,yes,yes,yes,yes,yes,yes,yes,strong_for_experimental,,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,"Journal of Power Sources 158 (2006) 485–496 Steam reforming of methane over unsupported nickel catalysts S. Rakass a, H. Oudghiri-Hassani a, P. Rowntreea,1, N. Abatzoglou b,∗ a D´epartement de chimie, Universit´e de Sherbrooke, 2500 Boul. Universit´e, Sherbrooke Quebec, Canada J1K 2R1 b D´epartement de g´enie chimique, Universit´e de Sherbrooke, Boul. Universit´e, Sherbrooke, Quebec, Canada Receiv"
paper_0070,10.1016/j.apsusc.2006.09.054,Theoretical and experimental study of methane steam reforming reactions over nickel catalyst,journal_article,25,81.0,Applied Surface Science,6.9,data\raw\pdfs\paper_0070.pdf,data\raw\pdfs\paper_0070.pdf,success_local_pdf,2,2026-04-29T15:21:24+08:00,no,,outputs\fulltext\pdf_text\paper_0070.txt,application/pdf; parsed_text_cache,739022,yes,yes,outputs\fulltext\pdf_text\paper_0070.txt,paper_0070.txt,yes,yes,59,48451,,8,5,yes,yes,yes,yes,yes,yes,yes,strong_for_experimental,,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,"Theoretical and experimental study of methane steam reforming reactions over nickel catalyst C. Pistonesi b, A. Juan b, B. Irigoyen a,*, N. Amadeo a a Laboratorio de Procesos Catalı´ticos, Departamento de Ingenierı´a Quı´mica, Facultad de Ingenierı´a, Universidad de Buenos Aires, Pabello´n de Industrias, Ciudad Universitaria, 1428 Capital Federal, Argentina b Departamento de Fı´sica, Universidad N"
paper_0101,10.1016/j.apcatb.2010.10.026,Effect of nickel nano-particle sintering on methane reforming activity of Ni-CGO cermet anodes for internal steam reforming SOFCs,journal_article,4,88.5,Applied Catalysis B: Environmental,21.1,data\raw\pdfs\paper_0101.pdf,data\raw\pdfs\paper_0101.pdf,success_local_pdf,9,2026-04-29T15:21:24+08:00,no,,outputs\fulltext\pdf_text\paper_0101.txt,application/pdf; parsed_text_cache,2771927,yes,yes,outputs\fulltext\pdf_text\paper_0101.txt,paper_0101.txt,yes,yes,77,29010,,11,9,yes,yes,yes,yes,yes,yes,yes,strong_for_experimental,,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,"Applied Catalysis B: Environmental 101 (2011) 531–539 Contents lists available at ScienceDirect Applied Catalysis B: Environmental journal homepage: www.elsevier.com/locate/apcatb Effect of nickel nano-particle sintering on methane reforming activity of Ni-CGO cermet anodes for internal steam reforming SOFCs D. Hari Prasada,b, H.-I. Jia, H.-R. Kima, J.-W. Sona, B.-K. Kima, H.-W. Leea, J.-H. Leea,∗"
paper_0103,10.1016/j.ijhydene.2010.06.049,H2 production by low pressure methane steam reforming in a Pd–Ag membrane reactor over a Ni-based catalyst: Experimental and modeling,journal_article,19,85.0,International Journal of Hydrogen Energy,8.3,data\raw\pdfs\paper_0103.pdf,data\raw\pdfs\paper_0103.pdf,success_local_pdf,2,2026-04-29T15:21:25+08:00,no,,outputs\fulltext\pdf_text\paper_0103.txt,application/pdf; parsed_text_cache,903458,yes,yes,outputs\fulltext\pdf_text\paper_0103.txt,paper_0103.txt,yes,yes,71,40986,,11,7,yes,yes,yes,yes,yes,yes,yes,strong_for_experimental,,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,"H2 production by low pressure methane steam reforming in aP d eAg membrane reactor over a Ni-based catalyst: Experimental and modeling A. Iulianelli a, G. Manzolini b, M. De Falco c, S. Campanari b, T. Longo a, S. Liguori a,d, A. Basile a,* a Institute on Membrane Technology of National Research Council (ITM-CNR), Via P. Bucci Cubo 17/C, c/o University of Calabria, Rende (CS) 87036, Italy b Dept. "
paper_0150,10.1016/j.ijhydene.2015.06.104,Hydrogen production by steam reforming of methane over mixed Ni/MgAl + CrFe 3 O 4 catalysts,journal_article,8,84.0,International Journal of Hydrogen Energy,8.3,data\raw\pdfs\paper_0150.pdf,data\raw\pdfs\paper_0150.pdf,success_local_pdf,9,2026-04-29T15:21:25+08:00,no,,outputs\fulltext\pdf_text\paper_0150.txt,application/pdf; parsed_text_cache,1727866,yes,yes,outputs\fulltext\pdf_text\paper_0150.txt,paper_0150.txt,yes,yes,70,25104,,9,8,yes,yes,yes,yes,yes,yes,yes,strong_for_experimental,,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,"Hydrogen production by steam reforming of methane over mixed Ni/MgAl þ CrFe3O4 catalysts Na Young Kim a,b, Eun-Hyeok Yang a,d, Sung-Soo Lim a,c, Jae Sun Jung a,d, Jae-Suk Lee a,d, Gi Hoon Hong a,d, Young-Su Noh a,b, Kwan Young Lee b,c, Dong Ju Moon a,d,* a Clean Energy Research Center, KIST, Seoul, Republic of Korea b Department of Biological & Chemical Engineering, Korea University, Seoul, Republ"
paper_0153,10.1021/acscatal.5b01221,Recent Advances on the Design of Group VIII Base-Metal Catalysts with Encapsulated Structures,journal_article,193,91.5,ACS Catalysis,13.1,data\raw\pdfs\paper_0153.pdf,data\raw\pdfs\paper_0153.pdf,success_local_pdf,2,2026-04-29T15:21:25+08:00,no,,outputs\fulltext\pdf_text\paper_0153.txt,application/pdf; parsed_text_cache,3714632,yes,yes,outputs\fulltext\pdf_text\paper_0153.txt,paper_0153.txt,yes,yes,72,103056,,10,8,yes,yes,yes,yes,yes,yes,yes,strong_for_experimental,,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,"Recent Advances on the Design of Group VIII Base-Metal Catalysts with Encapsulated Structures Hao Tian, Xinyu Li, Liang Zeng, and Jinlong Gong * Key Laboratory for Green Chemical Technology of Ministry of Education, School of Chemical Engineering and Technology, Tianjin University, Collaborative Innovation Center of Chemical Science and Engineering, Tianjin 300072, China ABSTRACT: Inexpensive grou"
paper_0157,10.1016/j.fuel.2016.03.104,Characterization and performance evaluation of Ni-based catalysts with Ce promoter for methane and hydrocarbons steam reforming process,journal_article,9,81.0,Fuel,7.5,data\raw\pdfs\paper_0157.pdf,data\raw\pdfs\paper_0157.pdf,success_local_pdf,9,2026-04-29T15:21:25+08:00,no,,outputs\fulltext\pdf_text\paper_0157.txt,application/pdf; parsed_text_cache,2560465,yes,yes,outputs\fulltext\pdf_text\paper_0157.txt,paper_0157.txt,yes,yes,70,35744,,9,8,yes,yes,yes,yes,yes,yes,yes,strong_for_experimental,,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,"Characterization and performance evaluation of Ni-based catalysts with Ce promoter for methane and hydrocarbons steam reforming process Xia Yang a,b,⇑, Jianwen Da b, Hantao Yu b, Hao Wang b a School of Chemical Engineering and Technology, Tianjin University, Tianjin 300072, PR China b Qilu Branch Corporation of SINOPEC, Zibo, Shandong 255400, PR China article info Article history: Received 14 Octo"
